12 20
- 8\ 20\ 18\ 41\ - 12\ 16\ 27\ - 37\ 7\ 17\ 11\ 13\ 4\ 38\ - 38\ 23\
\28 0 0 0 0 \14 0 0 0 \42 0 0 0 0 0 0 0 \6 0 0
\11 0 0 0 0 6\20 0 0 0 7\29 0 0 0 0 0 0 0 7\11 0 0
\35 0 0 0 0 0 0 \7 0 0 0 7\ 28\ - 40\ 8\27 0 0 0 0
- 28\ 42\ 16\8 0 0 0 \34 0 0 0 0 0 \21 0 0 0 0 0 0
\23 0 0 0 0 10\ 33\ - 38\ 14\9 0 0 0 8\21 0 0 0 \14 0 0
\23 0 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0 \7 0 0
\16 0 0 \23 0 0 0 3\6 0 0 0 \21 0 0 0 4\ 29\ - 24\ 14\
\11 0 0 \35 0 0 0 0 0 0 0 \17 0 0 0 0 0 \14 0 0
\4 0 0 15\ 6\ 14\19 0 0 0 16\ 10\ 13\ 6\ 3\8 0 0 0 8\4 0 0
\38 0 0 0 0 0 0 \41 0 0 0 0 0 0 0 \30 0 0 0 0
\22 0 0 0 0 0 0 \28 0 0 0 0 0 0 0 \15 0 0 0 0
