14 24
- - 23\ 26\ - 20\ 9\ 17\ - 19\ 12\ 12\ 38\ - 12\ 12\ 27\ - - 30\ 17\ 13\ 7\ 10\
- 4\14 0 0 20\22 0 0 0 \29 0 0 0 0 \7 0 0 0 - 16\16 0 0 0 0 0
\29 0 0 0 0 0 0 0 6\11 0 0 0 0 13\21 0 0 0 9\39 0 0 0 0 0 0
\16 0 0 0 0 0 38\15 0 0 0 0 3\22 0 0 0 \24 0 0 0 0 0 9\4 0 0
- 15\ 34\38 0 0 0 0 0 0 41\15 0 0 0 0 0 28\6 0 0 22\23 0 0 0 23\ 16\
\14 0 0 0 0 7\10 0 0 0 0 3\8 0 0 5\ 27\29 0 0 0 0 17\14 0 0 0 0
\13 0 0 0 3\11 0 0 - 8\7 0 0 23\25 0 0 0 0 - 8\9 0 0 6\ 15\11 0 0
\6 0 0 32\13 0 0 0 7\26 0 0 0 0 13\20 0 0 0 14\22 0 0 0 0 0 0 -
\13 0 0 0 0 32\11 0 0 0 0 11\7 0 0 14\11 0 0 0 0 30\19 0 0 0 0 14\
\22 0 0 0 6\20 0 0 0 18\37 0 0 0 0 0 0 11\27 0 0 0 0 11\ 30\12 0 0
- 12\ 19\17 0 0 0 - 13\20 0 0 0 9\4 0 0 19\4 0 0 20\39 0 0 0 0 0 0
\32 0 0 0 0 0 12\35 0 0 0 0 0 16\23 0 0 0 0 0 0 8\8 0 0 5\ 16\
\6 0 0 0 \10 0 0 0 0 \23 0 0 0 0 0 0 \6 0 0 0 \21 0 0 0
- \14 0 0 \20 0 0 0 - - \10 0 0 \14 0 0 \24 0 0 0 \17 0 0 0
