14 24
- - 37\ 16\ 7\ - 17\ 15\ - - 19\ 34\ - 17\ 16\ 22\ - - 38\ 11\ 16\ 4\ 38\ -
- 13\22 0 0 0 32\14 0 0 - \3 0 0 16\22 0 0 0 - \26 0 0 0 0 0 13\
\28 0 0 0 0 0 0 0 21\ 13\31 0 0 0 0 0 0 16\ 12\38 0 0 0 0 0 0
\15 0 0 - \4 0 0 \34 0 0 0 0 0 - \25 0 0 0 0 0 - \11 0 0
\8 0 0 32\ 21\15 0 0 14\13 0 0 \12 0 0 5\ 16\18 0 0 0 0 0 4\ 3\6 0 0
\45 0 0 0 0 0 0 0 0 0 \20 0 0 0 0 0 \4 0 0 \12 0 0 0 0
- \13 0 0 0 0 \8 0 0 0 \32 0 0 0 0 0 \14 0 0 \6 0 0 0 -
- - 23\16 0 0 23\ - 22\ 15\ 8\ 30\ - 29\ 22\ 4\ 14\ 39\ 12\ - 30\ 5\ 15\ 37\ -
- 29\21 0 0 0 0 \28 0 0 0 0 \22 0 0 0 0 0 0 \12 0 0 0 0 29\
\24 0 0 0 0 0 14\12 0 0 0 0 14\30 0 0 0 0 0 0 17\32 0 0 0 0 0
\8 0 0 - \24 0 0 0 - \12 0 0 0 0 - \24 0 0 0 0 - \16 0 0
\14 0 0 13\ 8\8 0 0 0 15\ 10\29 0 0 0 0 15\ 3\30 0 0 0 0 7\ 6\15 0 0
\15 0 0 0 0 0 \16 0 0 0 0 0 \26 0 0 0 0 - \15 0 0 0 0 0
- \28 0 0 0 0 \28 0 0 0 0 - \15 0 0 0 0 - \27 0 0 0 0 -
