14 24
- - 22\ 23\ 12\ 13\ - 7\ 8\ 14\ 33\ - 5\ 30\ 23\ - 21\ 9\ 18\ - 39\ 12\ 28\ 18\
- 28\12 0 0 0 0 \12 0 0 0 0 16\20 0 0 0 \23 0 0 0 8\10 0 0 0 0
\34 0 0 0 0 0 13\43 0 0 0 0 0 0 0 0 7\39 0 0 0 0 0 0 0 0
\21 0 0 0 11\6 0 0 0 23\22 0 0 0 41\12 0 0 0 0 16\19 0 0 0 3\16 0 0
\16 0 0 22\22 0 0 0 6\13 0 0 0 6\16 0 0 20\20 0 0 0 9\11 0 0 0 0 23\
\18 0 0 0 0 13\14 0 0 0 19\30 0 0 0 0 0 9\14 0 0 0 23\19 0 0 0 0
- 9\ 42\10 0 0 0 19\11 0 0 0 10\5 0 0 7\7 0 0 0 10\22 0 0 0 9\15 0 0
\19 0 0 0 21\19 0 0 0 39\41 0 0 0 0 0 0 0 6\9 0 0 0 24\10 0 0 0
\7 0 0 8\6 0 0 0 10\21 0 0 0 32\3 0 0 22\11 0 0 0 21\21 0 0 0 32\ 12\
\16 0 0 0 0 21\24 0 0 0 8\20 0 0 0 0 0 27\7 0 0 0 26\21 0 0 0 0
- 11\28 0 0 0 0 19\11 0 0 0 7\17 0 0 8\6 0 0 0 10\23 0 0 0 21\3 0 0
\4 0 0 16\23 0 0 0 7\11 0 0 0 0 6\22 0 0 0 17\24 0 0 0 4\22 0 0 0
\44 0 0 0 0 0 0 0 0 \37 0 0 0 0 0 0 0 0 \16 0 0 0 0 0
\14 0 0 0 0 \19 0 0 0 \10 0 0 0 \24 0 0 0 0 \27 0 0 0 0 -
