14 24
- - - 6\ 13\ 12\ 20\ 15\ - 6\ 3\ - - - 23\ 15\ 7\ - - 14\ 27\ 22\ - -
- - 19\35 0 0 0 0 0 \5 0 0 22\ - 27\20 0 0 0 - 7\23 0 0 0 15\ -
- 18\21 0 0 0 0 0 0 4\8 0 0 0 29\15 0 0 0 0 27\34 0 0 0 0 0 17\
\3 0 0 21\7 0 0 0 23\4 0 0 7\33 0 0 0 0 0 10\9 0 0 16\11 0 0 0 0
\13 0 0 0 28\13 0 0 0 0 24\29 0 0 0 0 10\6 0 0 0 7\17 0 0 37\12 0 0
\27 0 0 0 0 8\9 0 0 15\9 0 0 17\19 0 0 0 29\28 0 0 0 0 10\21 0 0 0
- \10 0 0 0 0 19\23 0 0 0 6\17 0 0 16\8 0 0 15\8 0 0 16\9 0 0 0 -
- - 29\29 0 0 0 0 13\27 0 0 0 0 29\30 0 0 0 0 21\14 0 0 0 0 34\ -
- 19\15 0 0 0 12\12 0 0 15\3 0 0 13\16 0 0 15\22 0 0 0 32\28 0 0 0 0 9\
\23 0 0 0 10\15 0 0 0 0 29\8 0 0 0 23\15 0 0 6\13 0 0 13\19 0 0 0 0
\4 0 0 22\12 0 0 10\22 0 0 0 16\29 0 0 0 0 12\28 0 0 0 0 23\8 0 0 0
\24 0 0 0 0 9\5 0 0 5\32 0 0 0 0 0 11\6 0 0 7\9 0 0 0 6\15 0 0
- \34 0 0 0 0 0 \12 0 0 0 0 \9 0 0 0 \33 0 0 0 0 0 0 -
- - \9 0 0 0 - \21 0 0 0 - - \16 0 0 \22 0 0 0 0 0 - -
