14 24
- 34\ 15\ 12\ 22\ - 22\ 30\ 7\ 12\ 21\ - 28\ 15\ 12\ 8\ - 6\ 11\ 28\ 7\ - 23\ 13\
\28 0 0 0 0 \22 0 0 0 0 0 \29 0 0 0 0 \26 0 0 0 0 \4 0 0
\10 0 0 0 0 9\34 0 0 0 0 0 26\10 0 0 0 0 \10 0 0 0 0 23\15 0 0
\13 0 0 \29 0 0 0 0 4\21 0 0 0 0 0 18\ 20\ - 14\ 8\23 0 0 0 0 0
\10 0 0 9\16 0 0 0 0 0 11\ 21\30 0 0 0 0 0 \10 0 0 0 19\12 0 0 12\
\10 0 0 0 23\4 0 0 17\11 0 0 0 0 23\21 0 0 0 6\16 0 0 22\12 0 0 0 0
- 9\ 7\11 0 0 42\14 0 0 41\29 0 0 0 0 18\11 0 0 0 0 8\10 0 0 5\16 0 0
\29 0 0 0 0 0 16\27 0 0 0 0 29\14 0 0 30\7 0 0 20\26 0 0 0 0 8\ 22\
\5 0 0 15\23 0 0 0 18\5 0 0 17\17 0 0 0 0 0 3\6 0 0 0 10\12 0 0 0
\6 0 0 0 10\20 0 0 0 0 12\14 0 0 \13 0 0 29\9 0 0 30\13 0 0 28\13 0 0
- 22\ 20\21 0 0 0 \23 0 0 0 0 0 6\21 0 0 0 0 0 0 \15 0 0 0 0
\16 0 0 0 0 0 16\24 0 0 0 9\17 0 0 0 0 0 5\17 0 0 7\11 0 0 6\ 12\
\18 0 0 0 \28 0 0 0 0 \20 0 0 0 \16 0 0 0 \38 0 0 0 0 0 0
\22 0 0 0 \13 0 0 0 0 \6 0 0 0 \21 0 0 0 \9 0 0 \9 0 0 0
