14 24
- 16\ 33\ 10\ - - 18\ 3\ 29\ - 30\ 13\ 9\ 34\ 9\ - 22\ 13\ 5\ 14\ - 16\ 34\ 6\
\23 0 0 0 8\ \10 0 0 0 \32 0 0 0 0 0 \12 0 0 0 0 22\10 0 0 0
\11 0 0 0 0 23\9 0 0 0 13\16 0 0 0 0 0 10\42 0 0 0 0 0 0 0 0
\6 0 0 \21 0 0 0 \16 0 0 0 - 3\34 0 0 0 0 0 15\ 30\24 0 0 0 11\
\13 0 0 22\ 17\14 0 0 16\11 0 0 0 27\6 0 0 23\22 0 0 0 0 0 0 \14 0 0
\28 0 0 0 0 0 0 0 4\28 0 0 0 0 0 0 0 - 10\22 0 0 0 44\7 0 0
- 8\ 28\9 0 0 14\ \33 0 0 0 0 0 24\ 7\12 0 0 10\18 0 0 0 0 0 21\ 8\
\33 0 0 0 0 0 16\5 0 0 24\ 13\26 0 0 0 0 20\14 0 0 10\16 0 0 0 0 0
\5 0 0 18\12 0 0 0 0 15\28 0 0 0 0 0 18\15 0 0 0 0 15\ \18 0 0 0
\11 0 0 0 0 11\16 0 0 0 0 0 26\11 0 0 0 0 16\ \4 0 0 10\21 0 0 0
- 24\16 0 0 23\6 0 0 \13 0 0 10\16 0 0 16\17 0 0 0 9\28 0 0 0 0 21\ 22\
\35 0 0 0 0 0 0 13\27 0 0 0 0 14\13 0 0 13\9 0 0 11\16 0 0 0 0 0
\14 0 0 \16 0 0 0 0 0 \33 0 0 0 0 0 0 \19 0 0 0 \21 0 0 0
\11 0 0 \9 0 0 \11 0 0 \8 0 0 0 \15 0 0 \6 0 0 0 \23 0 0 0
