12 18
- 27\ 22\ - - - 7\ 25\ - - - 23\ 24\ - - - 16\ 21\
\8 0 0 45\ - 24\4 0 0 - - \9 0 0 23\ - 45\13 0 0
\13 0 0 0 \18 0 0 0 35\ - 31\10 0 0 0 \9 0 0 0
\6 0 0 0 24\11 0 0 0 0 \29 0 0 0 0 17\23 0 0 0
\22 0 0 0 0 0 \16 0 0 24\4 0 0 \17 0 0 0 0 0
- \24 0 0 0 0 \28 0 0 0 0 0 \27 0 0 0 0 -
- - 29\10 0 0 16\ - 27\14 0 0 0 15\ - 25\4 0 0 23\ -
- 11\19 0 0 0 0 \29 0 0 0 0 0 \28 0 0 0 0 30\
\35 0 0 0 0 0 9\3 0 0 \12 0 0 17\22 0 0 0 0 0
\20 0 0 0 \30 0 0 0 0 \18 0 0 0 0 \18 0 0 0
\7 0 0 0 \9 0 0 0 - - \22 0 0 0 \10 0 0 0
\11 0 0 - - \11 0 0 - - \5 0 0 - - \7 0 0
