12 18
- 29\ 18\ 43\ - 10\ 4\ - 38\ 6\ - 23\ 13\ - 28\ 11\ 22\ 16\
\23 0 0 0 \3 0 0 7\9 0 0 \16 0 0 8\11 0 0 0 0
\12 0 0 0 16\16 0 0 0 0 0 9\41 0 0 0 0 0 0 0
\34 0 0 0 0 0 8\15 0 0 0 0 0 16\11 0 0 42\10 0 0
\16 0 0 0 0 11\15 0 0 0 13\15 0 0 0 14\10 0 0 0 10\
- 10\ 22\11 0 0 0 0 21\4 0 0 38\23 0 0 0 17\24 0 0 0
\15 0 0 0 0 0 10\34 0 0 0 0 0 17\16 0 0 0 0 0
\17 0 0 0 13\21 0 0 0 9\8 0 0 17\23 0 0 0 0 17\ 26\
- 23\17 0 0 0 11\6 0 0 0 23\21 0 0 0 11\13 0 0 0 0
\9 0 0 4\5 0 0 12\34 0 0 0 0 0 4\34 0 0 0 0 0
\40 0 0 0 0 0 0 0 \16 0 0 0 0 0 \6 0 0 0
\13 0 0 0 0 \6 0 0 \16 0 0 \8 0 0 \23 0 0 0
