12 18
- 9\ 13\ 35\ 7\ 12\ - - 21\ 17\ - - 15\ 5\ - - 11\ 24\
\16 0 0 0 0 0 18\ \4 0 0 3\ \13 0 0 8\ \8 0 0
\39 0 0 0 0 0 0 17\16 0 0 0 16\9 0 0 0 9\16 0 0
- \17 0 0 10\ \31 0 0 0 0 0 0 7\ \14 0 0 0 0
- 8\ 7\6 0 0 16\11 0 0 0 23\ \13 0 0 12\9 0 0 21\ -
\27 0 0 0 0 0 6\ \7 0 0 24\8 0 0 0 \11 0 0 10\
\11 0 0 19\ \5 0 0 13\17 0 0 0 \11 0 0 6\ 34\17 0 0
- \4 0 0 19\8 0 0 0 \9 0 0 15\ 10\21 0 0 0 0 0
- 7\ 24\9 0 0 \12 0 0 8\ 11\13 0 0 0 \9 0 0 22\ -
\26 0 0 0 0 6\ 11\21 0 0 0 0 0 0 4\ 6\16 0 0 12\
\9 0 0 \12 0 0 0 \24 0 0 0 \35 0 0 0 0 0 0
\13 0 0 - \14 0 0 - \5 0 0 - \15 0 0 0 0 0
