12 18
- 17\ 16\ - 9\ 16\ - 23\ 32\ - 16\ 16\ - 7\ 13\ - 18\ 35\
\11 0 0 39\10 0 0 3\17 0 0 \10 0 0 37\10 0 0 6\10 0 0
\38 0 0 0 0 0 0 0 0 9\41 0 0 0 0 0 0 0 0
- 11\14 0 0 0 \29 0 0 0 0 0 17\7 0 0 \21 0 0 0
\22 0 0 0 9\ - 38\ 13\18 0 0 0 0 0 6\ - 22\8 0 0
\16 0 0 0 0 6\16 0 0 0 \10 0 0 0 0 14\14 0 0 0
- 15\ 23\19 0 0 0 0 0 31\ - 16\34 0 0 0 0 0 23\ 13\
\9 0 0 0 \18 0 0 0 0 9\6 0 0 0 \29 0 0 0 0
\7 0 0 13\ - 11\34 0 0 0 0 0 24\ 7\ - 13\11 0 0 0
\20 0 0 0 10\16 0 0 7\18 0 0 0 0 0 12\6 0 0 0 8\
\36 0 0 0 0 0 0 0 0 \44 0 0 0 0 0 0 0 0
\4 0 0 \9 0 0 \12 0 0 \14 0 0 \11 0 0 \4 0 0
