12 18
- 18\ 26\ 12\ 19\ 30\ - 7\ 37\ 30\ 17\ 37\ 15\ 12\ - 38\ 12\ 13\
\16 0 0 0 0 0 \31 0 0 0 0 0 0 0 \20 0 0 0
\31 0 0 0 0 0 8\41 0 0 0 0 0 0 0 34\7 0 0 0
\10 0 0 43\18 0 0 0 36\15 0 0 \15 0 0 23\12 0 0 0 0
\7 0 0 0 22\18 0 0 0 0 0 38\37 0 0 0 0 0 0 -
\28 0 0 0 0 12\21 0 0 0 0 0 0 \11 0 0 0 30\ -
- \13 0 0 0 0 \17 0 0 18\10 0 0 8\21 0 0 0 0 15\
- - 24\22 0 0 0 24\39 0 0 0 0 0 0 12\18 0 0 0 0
- 8\33 0 0 0 0 0 0 \26 0 0 0 0 0 17\20 0 0 0
\15 0 0 0 0 10\9 0 0 13\16 0 0 16\7 0 0 0 15\12 0 0
\11 0 0 0 \30 0 0 0 0 0 0 0 \17 0 0 0 0 0
\7 0 0 0 \39 0 0 0 0 0 0 0 \29 0 0 0 0 0
