12 18
- 30\ 15\ 4\ 12\ - - 9\ 16\ - 18\ 11\ - - 4\ 8\ 19\ 30\
\12 0 0 0 0 - 12\5 0 0 \3 0 0 6\ \14 0 0 0 0
\20 0 0 0 0 9\23 0 0 0 10\18 0 0 0 17\22 0 0 0 0
\12 0 0 - 25\7 0 0 \7 0 0 0 \9 0 0 24\ \9 0 0
\14 0 0 16\13 0 0 9\ 24\14 0 0 0 16\ 7\12 0 0 15\7 0 0
- \20 0 0 0 \17 0 0 0 \12 0 0 0 \13 0 0 0 -
- - 29\9 0 0 \8 0 0 18\ - 27\13 0 0 \9 0 0 17\ -
- 11\8 0 0 0 13\11 0 0 0 6\13 0 0 0 9\20 0 0 0 26\
\12 0 0 \7 0 0 6\ \16 0 0 0 - 7\11 0 0 \11 0 0
\6 0 0 14\ 8\14 0 0 16\10 0 0 0 12\11 0 0 13\ 11\16 0 0
\29 0 0 0 0 \18 0 0 0 \7 0 0 0 \10 0 0 0 0
\11 0 0 0 0 - \11 0 0 \9 0 0 - \26 0 0 0 0
