12 18
- - - 6\ 17\ - 35\ 19\ 9\ 3\ - - - 12\ 13\ 4\ 21\ 29\
- 21\ 45\13 0 0 \17 0 0 0 0 45\ - 45\30 0 0 0 0 0
\21 0 0 0 0 20\29 0 0 0 0 0 17\22 0 0 0 0 0 0
\14 0 0 15\ 3\10 0 0 0 - 24\16 0 0 0 0 - 28\11 0 0
\26 0 0 0 0 0 0 12\ 23\28 0 0 0 0 15\ 6\12 0 0 0
- \45 0 0 0 0 0 0 0 0 0 \32 0 0 0 0 0 -
- \10 0 0 17\ 24\ 18\15 0 0 0 0 \10 0 0 0 0 19\ -
- 22\45 0 0 0 0 0 0 0 0 0 8\31 0 0 0 0 0 30\
\30 0 0 0 0 0 0 7\ \21 0 0 0 0 6\ \12 0 0 0
\12 0 0 6\ 9\12 0 0 0 5\ 11\22 0 0 0 0 14\ 7\9 0 0
\21 0 0 0 0 \28 0 0 0 0 0 \30 0 0 0 0 0 0
- - \11 0 0 \12 0 0 0 0 - - \33 0 0 0 0 0
