24 28
- - - - 39\ 7\ - 10\ 8\ - 10\ 6\ - 24\ 16\ 13\ - 3\ 20\ - 8\ 21\ - 11\ 21\ - - -
- - - 17\6 0 0 5\10 0 0 \3 0 0 \20 0 0 0 \4 0 0 \4 0 0 3\15 0 0 4\ - -
- 17\ 13\28 0 0 0 0 0 0 19\8 0 0 8\23 0 0 0 6\11 0 0 19\24 0 0 0 0 0 0 11\ 17\
\30 0 0 0 0 8\3 0 0 13\4 0 0 15\9 0 0 \4 0 0 28\16 0 0 24\5 0 0 17\19 0 0 0 0
\16 0 0 15\10 0 0 29\22 0 0 0 0 0 0 15\ - 7\30 0 0 0 0 0 0 30\9 0 0 16\12 0 0
- 9\ 21\23 0 0 0 0 9\17 0 0 5\7 0 0 0 10\11 0 0 0 12\17 0 0 6\29 0 0 0 0 24\ 16\
\27 0 0 0 0 9\8 0 0 0 15\8 0 0 \7 0 0 0 \16 0 0 10\11 0 0 0 9\20 0 0 0 0
\4 0 0 6\ 7\7 0 0 0 12\7 0 0 0 10\19 0 0 0 6\14 0 0 0 17\15 0 0 0 10\ 8\17 0 0
- \32 0 0 0 0 0 24\8 0 0 10\7 0 0 19\ 11\ 17\8 0 0 7\10 0 0 11\34 0 0 0 0 0 -
- 3\6 0 0 0 10\35 0 0 0 0 0 15\16 0 0 0 0 0 34\24 0 0 0 0 0 8\7 0 0 0 17\
\4 0 0 18\ 24\24 0 0 0 10\ 7\4 0 0 23\24 0 0 0 12\11 0 0 7\ 9\8 0 0 0 6\ 14\11 0 0
\24 0 0 0 0 0 \11 0 0 0 \21 0 0 0 \24 0 0 0 \11 0 0 0 \23 0 0 0 0 0
- 17\ 31\14 0 0 6\ - 23\10 0 0 \8 0 0 24\ - 10\8 0 0 \4 0 0 19\ - 9\5 0 0 24\ 4\
\35 0 0 0 0 0 37\9 0 0 0 17\19 0 0 0 16\7 0 0 0 7\6 0 0 0 22\16 0 0 0 0 0
\16 0 0 4\ 8\17 0 0 0 7\ 17\11 0 0 4\23 0 0 0 8\14 0 0 14\ 3\24 0 0 0 3\ 8\9 0 0
- \7 0 0 0 8\35 0 0 0 0 0 20\25 0 0 0 0 0 23\19 0 0 0 0 0 12\6 0 0 0 -
- 10\16 0 0 0 0 0 9\10 0 0 9\8 0 0 16\ 4\ 11\4 0 0 16\5 0 0 17\16 0 0 0 0 0 11\
\3 0 0 16\ 36\23 0 0 0 23\10 0 0 0 \7 0 0 0 \19 0 0 0 13\19 0 0 0 22\ 17\4 0 0
\30 0 0 0 0 4\18 0 0 0 12\6 0 0 19\14 0 0 0 12\15 0 0 23\19 0 0 0 5\20 0 0 0 0
- 3\ 16\21 0 0 0 0 11\11 0 0 19\11 0 0 0 \6 0 0 0 21\13 0 0 21\15 0 0 0 0 12\ 17\
\11 0 0 16\12 0 0 13\37 0 0 0 0 0 0 13\ - 7\37 0 0 0 0 0 0 6\11 0 0 16\16 0 0
\21 0 0 0 0 14\11 0 0 4\4 0 0 8\12 0 0 5\4 0 0 12\9 0 0 12\10 0 0 8\24 0 0 0 0
- - \22 0 0 0 0 0 0 \4 0 0 \6 0 0 0 \9 0 0 \39 0 0 0 0 0 0 - -
- - - \16 0 0 \6 0 0 \16 0 0 \15 0 0 0 \16 0 0 \6 0 0 \4 0 0 - - -
