24 28
- - - 22\ 20\ 16\ - 4\ 12\ 10\ 13\ - - - - - 14\ 30\ - - 17\ 3\ - - 12\ 18\ - -
- - \20 0 0 0 \10 0 0 0 0 20\ 16\ - 30\ 16\16 0 0 17\ \4 0 0 31\ 12\16 0 0 - -
- 17\ 24\23 0 0 0 \34 0 0 0 0 0 0 39\35 0 0 0 0 0 32\22 0 0 0 0 0 0 18\ 4\
\30 0 0 0 0 12\ - 17\4 0 0 6\35 0 0 0 0 0 21\29 0 0 0 0 12\17 0 0 \17 0 0 0
\16 0 0 16\6 0 0 21\5 0 0 16\3 0 0 \12 0 0 10\12 0 0 11\10 0 0 0 0 16\ - 15\8 0 0
- \10 0 0 8\7 0 0 0 24\19 0 0 0 30\24 0 0 0 0 10\9 0 0 \23 0 0 0 13\8 0 0 -
- - 8\36 0 0 0 0 0 0 0 \16 0 0 0 \31 0 0 0 0 0 35\ 7\29 0 0 0 0 6\ -
- 4\6 0 0 0 24\22 0 0 0 14\ - 16\16 0 0 12\ 14\6 0 0 \19 0 0 0 0 \8 0 0 0 4\
\7 0 0 0 6\16 0 0 35\16 0 0 11\21 0 0 0 0 0 0 3\ - 34\8 0 0 11\ - 7\7 0 0 0
\36 0 0 0 0 0 0 0 14\27 0 0 0 0 4\11 0 0 0 0 19\26 0 0 0 0 6\10 0 0 0 0
- 6\ 21\ 12\10 0 0 15\16 0 0 34\6 0 0 9\20 0 0 0 7\24 0 0 0 0 27\8 0 0 0 20\ 14\ 10\
\14 0 0 0 0 22\29 0 0 0 0 20\7 0 0 0 \6 0 0 31\29 0 0 0 0 4\15 0 0 0 0 0
\20 0 0 0 6\23 0 0 0 19\23 0 0 0 0 30\ - 4\14 0 0 0 0 11\7 0 0 0 11\9 0 0 0
\15 0 0 0 0 0 9\29 0 0 0 0 8\7 0 0 6\8 0 0 0 4\15 0 0 0 0 7\26 0 0 0 0
- 13\ 23\ 34\11 0 0 0 15\17 0 0 0 0 30\10 0 0 0 29\9 0 0 11\16 0 0 28\12 0 0 33\ 23\ 12\
\20 0 0 0 0 \19 0 0 0 0 \15 0 0 0 0 22\21 0 0 0 0 17\32 0 0 0 0 0 0 0
\24 0 0 0 11\ - 30\8 0 0 22\ - 9\26 0 0 0 0 0 0 \17 0 0 11\8 0 0 4\24 0 0 0
- \22 0 0 0 6\10 0 0 0 0 7\7 0 0 6\ \8 0 0 35\ - 9\6 0 0 0 6\19 0 0 0 -
- - 9\14 0 0 0 0 16\ \34 0 0 0 0 0 10\24 0 0 0 17\35 0 0 0 0 0 0 0 7\ -
- 4\10 0 0 \22 0 0 0 11\6 0 0 11\17 0 0 0 0 \24 0 0 0 11\6 0 0 0 30\10 0 0 8\
\6 0 0 13\ - 4\20 0 0 0 0 3\9 0 0 6\6 0 0 6\16 0 0 18\4 0 0 \7 0 0 6\6 0 0
\12 0 0 0 7\6 0 0 8\11 0 0 0 0 6\16 0 0 0 0 0 16\10 0 0 12\ - 7\14 0 0 0 0
- - \22 0 0 0 0 0 0 \15 0 0 0 0 0 \22 0 0 0 0 0 0 \11 0 0 0 - -
- - \3 0 0 - \11 0 0 - \4 0 0 - - - - \29 0 0 0 0 \17 0 0 0 - -
