24 28
- 4\ 9\ - - - 17\ 30\ - 9\ 7\ - 29\ 3\ - 14\ 17\ - 17\ 38\ - - - 4\ 18\ - 6\ 3\
\7 0 0 15\ - 13\14 0 0 \4 0 0 \10 0 0 17\12 0 0 \16 0 0 11\ - 9\6 0 0 34\4 0 0
\7 0 0 0 6\24 0 0 0 6\3 0 0 23\25 0 0 0 0 0 \24 0 0 0 6\21 0 0 0 0 0 0
- \11 0 0 0 0 6\36 0 0 0 0 0 0 12\16 0 0 13\ - 9\14 0 0 0 0 35\7 0 0 0 -
- - 26\6 0 0 26\11 0 0 0 35\ 22\23 0 0 0 19\4 0 0 18\17 0 0 0 0 21\23 0 0 0 24\ -
- 4\15 0 0 0 0 0 30\23 0 0 0 0 \12 0 0 11\11 0 0 0 0 7\9 0 0 0 \14 0 0 9\
\8 0 0 0 21\17 0 0 0 16\15 0 0 16\ - 35\19 0 0 0 0 15\4 0 0 13\16 0 0 12\12 0 0 0
\11 0 0 15\12 0 0 \35 0 0 0 0 0 14\23 0 0 0 21\11 0 0 3\34 0 0 0 0 0 15\17 0 0
- \21 0 0 0 0 24\24 0 0 0 16\23 0 0 0 10\6 0 0 3\10 0 0 0 0 20\13 0 0 0 0 -
- - 27\10 0 0 30\16 0 0 \15 0 0 7\23 0 0 0 3\11 0 0 0 0 19\25 0 0 0 0 0 16\ -
- 6\25 0 0 0 0 0 12\ - 7\8 0 0 24\21 0 0 0 0 0 0 11\14 0 0 0 21\6 0 0 0 7\
\12 0 0 23\30 0 0 0 0 19\17 0 0 0 0 0 \7 0 0 24\9 0 0 0 8\4 0 0 26\6 0 0 0
\16 0 0 0 0 0 12\7 0 0 0 21\9 0 0 3\ - 21\9 0 0 22\24 0 0 0 11\25 0 0 0 0 0
\19 0 0 0 15\10 0 0 18\17 0 0 0 6\4 0 0 7\27 0 0 0 0 0 \10 0 0 0 0 7\4 0 0
- \24 0 0 0 33\11 0 0 0 5\21 0 0 0 0 0 0 16\17 0 0 27\ - 30\22 0 0 0 0 0 -
- - 23\26 0 0 0 0 0 6\15 0 0 0 0 19\10 0 0 0 12\7 0 0 9\11 0 0 10\8 0 0 11\ -
- 11\14 0 0 0 0 7\20 0 0 0 0 11\4 0 0 24\18 0 0 0 23\24 0 0 0 \13 0 0 0 0 6\
\17 0 0 16\15 0 0 0 0 0 31\4 0 0 22\23 0 0 0 \22 0 0 0 0 0 7\8 0 0 15\7 0 0
\7 0 0 0 \4 0 0 21\4 0 0 11\30 0 0 0 0 7\ - 6\15 0 0 23\12 0 0 0 11\6 0 0 0
- \12 0 0 28\11 0 0 0 24\18 0 0 0 0 30\10 0 0 17\26 0 0 0 0 14\15 0 0 0 0 0 -
- - 24\17 0 0 0 14\29 0 0 0 0 \13 0 0 13\11 0 0 0 9\ 7\21 0 0 0 7\10 0 0 7\ -
- 17\23 0 0 0 16\30 0 0 0 0 14\ - 9\16 0 0 4\21 0 0 0 0 0 0 6\10 0 0 0 0 5\
\39 0 0 0 0 0 0 \21 0 0 0 \16 0 0 0 0 0 \7 0 0 \9 0 0 0 \8 0 0 0
\16 0 0 \15 0 0 - - \16 0 0 \17 0 0 \5 0 0 \4 0 0 \4 0 0 - - \3 0 0
