20 32
- 24\ 29\ 7\ - 21\ 7\ 34\ - 29\ 4\ 17\ 24\ - 10\ 14\ - 14\ 15\ 16\ 39\ - 16\ 5\ 21\ - 15\ 24\ - 12\ 10\ 27\
\11 0 0 0 13\19 0 0 0 \26 0 0 0 0 16\4 0 0 \16 0 0 0 0 12\11 0 0 0 \14 0 0 23\20 0 0 0
\29 0 0 0 0 0 0 0 30\30 0 0 0 0 0 0 0 27\43 0 0 0 0 0 0 0 0 25\38 0 0 0 0 0 0
\14 0 0 12\22 0 0 0 0 0 0 15\13 0 0 0 35\23 0 0 0 0 15\23 0 0 0 12\19 0 0 0 0 0 29\10 0 0
- 16\29 0 0 0 0 16\27 0 0 0 0 0 16\27 0 0 0 0 19\22 0 0 0 0 0 0 29\12 0 0 10\11 0 0 0 0
\14 0 0 0 11\14 0 0 0 0 22\25 0 0 0 0 0 38\15 0 0 0 0 0 25\16 0 0 0 0 22\16 0 0 0 22\ 22\
\3 0 0 34\6 0 0 0 22\23 0 0 0 7\27 0 0 0 0 0 0 11\17 0 0 0 22\33 0 0 0 0 0 30\19 0 0 0
\30 0 0 0 0 13\26 0 0 0 0 39\10 0 0 14\15 0 0 9\16 0 0 0 22\15 0 0 0 0 38\39 0 0 0 0 0 0
- 10\ 21\16 0 0 0 0 0 10\19 0 0 0 21\29 0 0 0 0 22\21 0 0 0 0 0 11\17 0 0 0 0 0 17\10 0 0
\10 0 0 0 13\11 0 0 0 0 8\11 0 0 0 0 20\21 0 0 0 0 11\30 0 0 0 0 6\11 0 0 7\13 0 0 0 9\
\27 0 0 0 0 0 10\28 0 0 0 0 14\17 0 0 0 0 9\10 0 0 0 0 11\15 0 0 0 0 21\33 0 0 0 0 0
- 17\7 0 0 0 16\5 0 0 13\16 0 0 0 0 18\11 0 0 0 0 15\29 0 0 0 0 13\11 0 0 0 0 24\7 0 0 0
\11 0 0 10\18 0 0 0 0 0 23\28 0 0 0 0 0 14\13 0 0 0 0 24\7 0 0 0 16\25 0 0 0 0 0 40\ 10\
\22 0 0 0 0 0 0 27\19 0 0 0 0 21\9 0 0 0 20\4 0 0 16\12 0 0 23\23 0 0 0 0 38\30 0 0 0 0
\18 0 0 0 30\15 0 0 0 0 0 17\10 0 0 0 32\22 0 0 0 0 0 0 31\13 0 0 0 17\19 0 0 0 10\4 0 0
- 30\ 11\17 0 0 0 11\27 0 0 0 0 24\34 0 0 0 0 0 14\22 0 0 0 0 0 15\11 0 0 0 0 11\9 0 0 0
\22 0 0 0 0 7\9 0 0 23\22 0 0 0 0 0 0 7\11 0 0 0 0 7\35 0 0 0 0 0 11\29 0 0 0 0 19\
\9 0 0 6\33 0 0 0 0 0 3\13 0 0 0 16\15 0 0 0 0 10\10 0 0 0 17\22 0 0 0 0 0 0 6\14 0 0
\23 0 0 0 0 0 0 \41 0 0 0 0 0 0 0 0 \41 0 0 0 0 0 0 0 \30 0 0 0 0 0 0 0
\13 0 0 0 \4 0 0 \18 0 0 0 \27 0 0 0 0 \3 0 0 \19 0 0 0 0 \23 0 0 0 \6 0 0 0
