20 32
- 11\ 41\ 14\ - 9\ 13\ - 27\ 5\ 29\ - 6\ 35\ - 7\ 15\ 7\ - 16\ 28\ 4\ 30\ - 7\ 10\ - 24\ 16\ 34\ 7\ 15\
\11 0 0 0 29\8 0 0 \11 0 0 0 8\12 0 0 \8 0 0 0 16\26 0 0 0 0 \4 0 0 16\33 0 0 0 0 0
\34 0 0 0 0 0 0 32\22 0 0 0 0 0 0 11\41 0 0 0 0 0 0 0 0 14\37 0 0 0 0 0 0 0 0
\7 0 0 9\20 0 0 0 0 0 7\13 0 0 15\11 0 0 0 0 32\8 0 0 0 9\9 0 0 0 8\11 0 0 11\19 0 0 0
\26 0 0 0 0 4\34 0 0 0 0 0 21\19 0 0 0 16\6 0 0 0 35\18 0 0 0 0 17\15 0 0 0 0 0 42\ 5\
- 13\10 0 0 0 0 29\10 0 0 0 12\16 0 0 0 0 0 8\15 0 0 0 0 0 26\30 0 0 0 0 23\14 0 0 0 0
\9 0 0 22\14 0 0 0 0 35\11 0 0 0 0 13\29 0 0 0 0 0 0 0 7\7 0 0 0 17\11 0 0 0 10\8 0 0
\29 0 0 0 0 17\18 0 0 0 5\27 0 0 0 0 34\19 0 0 0 35\29 0 0 0 0 9\10 0 0 29\19 0 0 0 0 27\
- 29\ 40\24 0 0 0 0 16\11 0 0 0 0 10\11 0 0 0 20\23 0 0 0 7\6 0 0 0 35\12 0 0 0 4\24 0 0 0
\13 0 0 0 13\16 0 0 0 0 0 34\13 0 0 0 0 28\34 0 0 0 0 0 39\34 0 0 0 0 0 23\10 0 0 0 0
\11 0 0 9\27 0 0 0 0 0 5\10 0 0 0 20\15 0 0 0 0 0 11\12 0 0 0 5\32 0 0 0 0 0 8\16 0 0
\30 0 0 0 0 12\34 0 0 0 0 0 10\35 0 0 0 0 0 22\25 0 0 0 0 8\17 0 0 0 0 0 30\16 0 0 0
\15 0 0 0 27\7 0 0 0 18\15 0 0 0 29\11 0 0 0 11\13 0 0 0 10\15 0 0 0 0 32\21 0 0 0 0 30\ 15\
- 8\26 0 0 0 0 15\7 0 0 28\18 0 0 0 0 16\24 0 0 0 26\11 0 0 0 0 7\10 0 0 0 10\29 0 0 0 0
\12 0 0 16\10 0 0 0 6\20 0 0 0 12\28 0 0 0 0 0 0 0 16\16 0 0 0 0 16\19 0 0 0 0 4\12 0 0
\22 0 0 0 0 30\18 0 0 0 0 25\19 0 0 0 0 0 13\30 0 0 0 0 0 26\15 0 0 0 14\11 0 0 0 0 27\
- 24\ 6\20 0 0 0 0 0 6\11 0 0 0 0 23\13 0 0 0 18\6 0 0 0 7\18 0 0 0 0 0 21\10 0 0 0 0
\17 0 0 0 17\13 0 0 12\16 0 0 0 4\14 0 0 0 7\28 0 0 0 0 12\10 0 0 10\15 0 0 0 0 0 6\16 0 0
\42 0 0 0 0 0 0 0 0 \42 0 0 0 0 0 0 0 0 \38 0 0 0 0 0 0 \39 0 0 0 0 0 0
\27 0 0 0 0 0 \7 0 0 \26 0 0 0 0 \7 0 0 0 \6 0 0 \10 0 0 0 \10 0 0 \12 0 0 0
