15 20
- 23\ 11\ - 16\ 11\ 7\ - 22\ 16\ 29\ - 7\ 4\ 22\ - 29\ 34\ 6\ 20\
\14 0 0 16\13 0 0 0 \15 0 0 0 17\7 0 0 0 \10 0 0 0 0
\23 0 0 0 0 0 0 19\40 0 0 0 0 0 0 0 9\22 0 0 0 0
\11 0 0 0 19\25 0 0 0 0 28\14 0 0 0 18\38 0 0 0 0 0 0
- 11\ 22\19 0 0 0 20\18 0 0 0 0 0 24\17 0 0 0 0 0 21\ 11\
\10 0 0 0 0 15\27 0 0 0 0 14\14 0 0 0 0 30\29 0 0 0 0
\6 0 0 14\24 0 0 0 32\6 0 0 0 19\30 0 0 0 0 0 12\7 0 0
\24 0 0 0 29\12 0 0 0 11\22 0 0 0 0 0 11\13 0 0 0 0 11\
- 6\11 0 0 0 0 26\33 0 0 0 0 0 38\14 0 0 0 17\23 0 0 0
\4 0 0 16\31 0 0 0 0 0 23\6 0 0 0 11\19 0 0 0 30\5 0 0
\17 0 0 0 0 13\11 0 0 0 0 20\11 0 0 0 0 22\19 0 0 0 0
- 11\ 24\27 0 0 0 0 0 10\34 0 0 0 0 0 7\15 0 0 0 7\ 9\
\22 0 0 0 0 0 0 9\21 0 0 0 4\19 0 0 0 0 7\13 0 0 0
\15 0 0 0 0 \28 0 0 0 0 0 0 0 \21 0 0 0 0 0 0
\30 0 0 0 0 \7 0 0 0 \13 0 0 0 \14 0 0 0 \7 0 0
