15 20
- 14\ 29\ 23\ - 14\ 11\ 11\ - 6\ 13\ 10\ - 34\ 12\ - 43\ 30\ 4\ 10\
\23 0 0 0 \7 0 0 0 35\12 0 0 0 \14 0 0 5\27 0 0 0 0
\10 0 0 0 16\41 0 0 0 0 0 0 0 16\31 0 0 0 0 0 0 0
\21 0 0 0 0 0 0 15\6 0 0 6\7 0 0 0 37\10 0 0 0 35\ 13\
\15 0 0 0 0 11\10 0 0 0 23\16 0 0 0 0 0 13\14 0 0 0 0
- 17\ 37\24 0 0 0 39\13 0 0 0 0 20\32 0 0 0 0 0 8\16 0 0
\15 0 0 0 42\28 0 0 0 0 0 16\11 0 0 22\39 0 0 0 0 0 0
\15 0 0 7\17 0 0 0 0 16\22 0 0 0 0 0 0 24\18 0 0 0 3\
- 10\11 0 0 0 4\38 0 0 0 0 0 0 34\23 0 0 0 0 21\9 0 0
\22 0 0 0 0 0 0 23\9 0 0 6\34 0 0 0 0 0 16\6 0 0 0
\4 0 0 11\17 0 0 0 0 0 29\19 0 0 0 0 30\16 0 0 0 11\ 29\
\24 0 0 0 0 8\29 0 0 0 0 0 24\23 0 0 0 8\13 0 0 0 0
- 8\ 17\20 0 0 0 4\23 0 0 0 5\13 0 0 4\38 0 0 0 0 0 0
\29 0 0 0 0 0 0 0 \29 0 0 0 0 0 0 0 \18 0 0 0
\16 0 0 0 0 \5 0 0 \18 0 0 0 \13 0 0 0 \9 0 0 0
