15 20
- 35\ 43\ - 25\ 6\ 12\ - 30\ 4\ 23\ - 34\ 7\ - 16\ 22\ - 34\ 16\
\9 0 0 \19 0 0 0 13\17 0 0 0 \12 0 0 35\11 0 0 11\8 0 0
\14 0 0 14\40 0 0 0 0 0 0 0 15\38 0 0 0 0 0 0 0 0
\17 0 0 0 0 0 13\8 0 0 13\18 0 0 0 0 0 42\30 0 0 0 0
\27 0 0 0 0 42\15 0 0 0 0 24\10 0 0 11\19 0 0 0 25\10 0 0
\10 0 0 30\11 0 0 0 0 11\28 0 0 0 0 0 0 0 10\17 0 0 0
- 8\34 0 0 0 0 0 15\29 0 0 0 0 23\18 0 0 0 0 0 37\ 16\
\24 0 0 0 4\11 0 0 0 0 34\14 0 0 0 0 12\34 0 0 0 0 0
\16 0 0 0 0 0 16\14 0 0 0 0 10\22 0 0 0 0 39\11 0 0 0
- 31\ 34\21 0 0 0 0 0 34\28 0 0 0 0 27\23 0 0 0 0 0 20\
\23 0 0 0 27\29 0 0 0 0 0 0 0 17\30 0 0 0 0 11\12 0 0
\12 0 0 4\17 0 0 0 14\15 0 0 16\11 0 0 0 0 11\15 0 0 0 0
\10 0 0 0 0 9\25 0 0 0 0 0 16\17 0 0 6\34 0 0 0 0 0
\44 0 0 0 0 0 0 0 0 \28 0 0 0 0 0 0 0 \17 0 0
\14 0 0 \14 0 0 \14 0 0 \23 0 0 0 \10 0 0 0 \6 0 0
