15 20
- 8\ 10\ 18\ - 12\ 16\ - 11\ 12\ 14\ 19\ - 12\ 26\ - 45\ 34\ 21\ 9\
\7 0 0 0 19\5 0 0 \24 0 0 0 0 19\6 0 0 \29 0 0 0 0
\39 0 0 0 0 0 0 23\41 0 0 0 0 0 0 0 11\26 0 0 0 0
- 12\ 30\6 0 0 29\23 0 0 0 17\10 0 0 0 11\22 0 0 0 0 0 0
\29 0 0 0 0 0 0 0 11\4 0 0 14\24 0 0 0 0 0 0 42\ 10\
\24 0 0 0 45\15 0 0 0 0 0 15\17 0 0 0 19\35 0 0 0 0 0
\5 0 0 4\9 0 0 12\35 0 0 0 0 0 19\18 0 0 0 0 7\6 0 0
- 23\23 0 0 0 0 0 19\6 0 0 0 22\7 0 0 0 22\10 0 0 0 0
\13 0 0 0 0 16\7 0 0 0 9\21 0 0 0 28\33 0 0 0 0 0 23\
\16 0 0 20\30 0 0 0 0 14\15 0 0 0 0 0 33\14 0 0 15\13 0 0
\18 0 0 0 0 0 20\12 0 0 0 11\33 0 0 0 0 0 18\19 0 0 0
- 9\ 20\21 0 0 0 0 0 0 24\8 0 0 6\29 0 0 0 0 0 0 0
\22 0 0 0 0 0 0 8\19 0 0 0 4\19 0 0 0 4\8 0 0 16\ 7\
\29 0 0 0 0 \31 0 0 0 0 0 0 0 \38 0 0 0 0 0 0
\10 0 0 0 0 \13 0 0 \14 0 0 0 0 \6 0 0 \11 0 0 0
