15 20
- 24\ 28\ - 10\ 28\ - 7\ 11\ - 34\ 9\ - 36\ 6\ 6\ - 12\ 37\ 24\
\13 0 0 11\12 0 0 \4 0 0 24\12 0 0 \11 0 0 0 22\19 0 0 0
\35 0 0 0 0 0 13\27 0 0 0 0 0 16\29 0 0 0 0 0 0 0
\6 0 0 0 17\15 0 0 0 15\35 0 0 0 0 0 12\18 0 0 0 0 0
\12 0 0 21\12 0 0 0 11\18 0 0 0 18\23 0 0 0 15\19 0 0 0 4\
- 16\6 0 0 0 31\23 0 0 0 33\6 0 0 12\14 0 0 0 0 34\5 0 0
\34 0 0 0 0 0 8\10 0 0 0 10\7 0 0 0 8\32 0 0 0 0 0
\11 0 0 0 21\18 0 0 0 5\29 0 0 0 0 19\10 0 0 0 0 29\ 9\
- 11\ 38\18 0 0 0 0 22\16 0 0 0 0 7\17 0 0 0 16\20 0 0 0
\29 0 0 0 0 0 11\12 0 0 0 32\20 0 0 0 11\17 0 0 0 0 0
\17 0 0 10\10 0 0 0 0 13\11 0 0 18\6 0 0 0 29\24 0 0 0 20\
- 10\15 0 0 0 18\13 0 0 0 7\9 0 0 0 15\13 0 0 0 13\9 0 0
\18 0 0 0 0 0 4\34 0 0 0 0 0 16\18 0 0 0 5\23 0 0 0
\40 0 0 0 0 0 0 0 \31 0 0 0 0 0 \15 0 0 0 0 0
\6 0 0 0 \7 0 0 0 \4 0 0 \17 0 0 \10 0 0 \8 0 0
