15 20
- 18\ 44\ - 21\ 13\ 12\ 19\ - 4\ 15\ - 7\ 6\ 34\ - 7\ 16\ 33\ 4\
\3 0 0 \13 0 0 0 0 23\3 0 0 \12 0 0 0 11\11 0 0 0 0
\7 0 0 9\42 0 0 0 0 0 0 0 26\43 0 0 0 0 0 0 0 0
\32 0 0 0 0 0 15\8 0 0 30\13 0 0 0 15\9 0 0 27\10 0 0 14\
\14 0 0 0 0 34\38 0 0 0 0 0 0 17\14 0 0 0 0 19\13 0 0
\10 0 0 16\10 0 0 0 0 20\35 0 0 0 0 0 0 16\29 0 0 0 0
- 16\17 0 0 0 0 0 20\14 0 0 10\6 0 0 0 26\7 0 0 0 37\ 4\
\11 0 0 0 29\23 0 0 0 0 0 0 12\42 0 0 0 0 0 0 0 0
\39 0 0 0 0 0 0 0 0 30\21 0 0 0 0 0 0 37\20 0 0 0
- 8\ 21\23 0 0 0 16\19 0 0 0 16\4 0 0 34\33 0 0 0 0 0 16\
\17 0 0 0 0 19\22 0 0 0 0 0 0 16\26 0 0 0 0 12\6 0 0
\14 0 0 18\30 0 0 0 0 13\35 0 0 0 0 0 0 13\12 0 0 0 0
- 17\8 0 0 11\4 0 0 9\15 0 0 0 9\7 0 0 3\34 0 0 0 0 0
\36 0 0 0 0 0 0 0 0 \30 0 0 0 0 0 0 0 \4 0 0
\29 0 0 0 0 \12 0 0 0 \6 0 0 \14 0 0 0 0 \8 0 0
