15 20
- 9\ 15\ 22\ - 6\ 28\ 21\ - 21\ 9\ 29\ - 12\ 23\ 24\ - 22\ 11\ 7\
\22 0 0 0 \19 0 0 0 \23 0 0 0 \21 0 0 0 \7 0 0 0
\10 0 0 0 16\13 0 0 0 15\13 0 0 0 16\10 0 0 0 12\20 0 0 0
- 17\ 40\42 0 0 0 0 0 0 0 17\36 0 0 0 0 0 0 0 44\ 13\
\24 0 0 0 0 \45 0 0 0 0 0 0 0 0 0 \11 0 0 0 0
\24 0 0 0 21\ - - 29\ 12\14 0 0 0 15\ 24\ - - 14\16 0 0 0
- 12\19 0 0 0 12\ 9\8 0 0 0 \10 0 0 0 8\ 10\24 0 0 0 9\
\7 0 0 \18 0 0 0 0 0 - - \32 0 0 0 0 0 \5 0 0
\15 0 0 39\33 0 0 0 0 0 39\ - 23\15 0 0 0 0 0 29\13 0 0
- 9\17 0 0 0 - \13 0 0 0 4\10 0 0 0 - \20 0 0 0 11\
\21 0 0 0 4\ - 29\ 14\ 6\13 0 0 0 5\ 28\ 13\ - 8\6 0 0 0
\11 0 0 0 0 6\45 0 0 0 0 0 0 0 0 0 15\19 0 0 0 0
- 10\ 8\28 0 0 0 0 0 0 0 8\28 0 0 0 0 0 0 0 7\ 11\
\23 0 0 0 \9 0 0 0 \11 0 0 0 \8 0 0 0 \23 0 0 0
\7 0 0 0 \19 0 0 0 \24 0 0 0 \19 0 0 0 \7 0 0 0
