14 18
- 11\ 45\ 37\ 7\ 10\ - 26\ 31\ 29\ 14\ - - 11\ 21\ 40\ 27\ 19\
\35 0 0 0 0 0 \30 0 0 0 0 3\ \15 0 0 0 0 0
\22 0 0 0 0 0 32\15 0 0 0 0 0 23\35 0 0 0 0 0
\15 0 0 0 12\28 0 0 0 0 0 32\30 0 0 0 0 0 0 0
\17 0 0 0 0 37\15 0 0 0 0 0 32\38 0 0 0 0 0 0
- 10\15 0 0 0 0 0 41\26 0 0 0 0 0 26\12 0 0 0 0
\10 0 0 0 36\24 0 0 0 20\36 0 0 0 0 0 0 0 42\ 17\
\12 0 0 33\18 0 0 0 0 0 30\16 0 0 0 0 21\8 0 0 0
\20 0 0 0 0 0 16\31 0 0 0 0 0 15\3 0 0 26\13 0 0
- \41 0 0 0 0 0 0 0 0 23\35 0 0 0 0 0 0 0
- 14\ 11\29 0 0 0 0 0 10\9 0 0 15\35 0 0 0 0 0 11\
\30 0 0 0 0 10\42 0 0 0 0 0 0 0 8\30 0 0 0 0
\37 0 0 0 0 0 0 0 0 \36 0 0 0 0 0 0 0 0
\11 0 0 0 \23 0 0 0 0 \28 0 0 0 0 \9 0 0 0
