14 18
- 9\ 20\ 22\ 31\ - 13\ 21\ 11\ - - 19\ 9\ 35\ - 16\ 28\ 12\
\11 0 0 0 0 \20 0 0 0 20\ \8 0 0 0 22\19 0 0 0
\26 0 0 0 0 40\14 0 0 0 0 45\42 0 0 0 0 0 0 0
- \21 0 0 0 0 0 0 25\12 0 0 0 32\14 0 0 0 0 19\
- 13\ 14\27 0 0 0 0 11\41 0 0 0 0 0 0 0 6\5 0 0
\16 0 0 0 0 0 10\20 0 0 0 0 12\36 0 0 0 0 0 0
\11 0 0 0 30\13 0 0 0 0 19\10 0 0 0 31\ 24\8 0 0 0
\13 0 0 21\12 0 0 0 26\28 0 0 0 0 0 0 0 21\16 0 0
- \33 0 0 0 0 0 0 15\36 0 0 0 0 0 0 0 15\ 14\
- 10\ 26\16 0 0 0 10\10 0 0 0 0 28\31 0 0 0 0 0 0
\27 0 0 0 0 16\6 0 0 0 23\36 0 0 0 0 0 0 0 0
\17 0 0 0 15\42 0 0 0 0 0 0 0 10\24 0 0 0 0 12\
\45 0 0 0 0 0 0 0 0 0 \42 0 0 0 0 0 0 0
\22 0 0 0 0 \22 0 0 0 0 \9 0 0 0 \20 0 0 0
