14 20
- 9\ 16\ 31\ - - 17\ 15\ 26\ - - - 29\ 14\ 16\ - - - 10\ 7\
\23 0 0 0 - 34\24 0 0 0 34\ - 9\23 0 0 0 15\ - 23\4 0 0
\6 0 0 0 16\35 0 0 0 0 0 20\35 0 0 0 0 0 7\6 0 0 0
- \30 0 0 0 0 - 5\15 0 0 0 0 0 29\ \15 0 0 0 0 0
- - 12\23 0 0 0 16\27 0 0 0 0 \16 0 0 16\12 0 0 0 0 -
- 4\13 0 0 5\7 0 0 0 \4 0 0 41\ 15\15 0 0 0 0 0 23\ -
\4 0 0 38\9 0 0 0 13\ 13\37 0 0 0 0 0 0 - 15\6 0 0 6\
\11 0 0 0 0 \10 0 0 0 0 10\28 0 0 0 0 31\28 0 0 0 0
- \11 0 0 7\ 30\32 0 0 0 0 0 0 - 9\23 0 0 0 20\5 0 0
- - 20\16 0 0 0 0 0 12\ \13 0 0 27\6 0 0 0 11\14 0 0 -
- 19\24 0 0 0 0 \13 0 0 14\27 0 0 0 0 \20 0 0 0 14\ -
\33 0 0 0 0 0 6\ 8\27 0 0 0 0 0 9\ 14\10 0 0 0 0 8\
\23 0 0 0 \19 0 0 0 0 0 \18 0 0 0 0 0 \6 0 0 0
\4 0 0 - - \10 0 0 0 - - \24 0 0 0 - \24 0 0 0
