14 20
- 30\ 14\ - 12\ 4\ 15\ - 6\ 8\ - 3\ 13\ - - 7\ 14\ - 23\ 18\
\17 0 0 31\8 0 0 0 \5 0 0 35\4 0 0 - \6 0 0 30\15 0 0
\23 0 0 0 0 0 0 16\15 0 0 0 0 0 11\ 32\32 0 0 0 0 0
\11 0 0 0 - \17 0 0 0 0 0 33\11 0 0 0 0 17\24 0 0 0
\18 0 0 0 16\ 19\11 0 0 - \35 0 0 0 0 0 25\16 0 0 30\ 10\
- 19\ 11\23 0 0 0 0 0 16\ 34\15 0 0 - \38 0 0 0 0 0 0
\27 0 0 0 0 0 17\34 0 0 0 0 0 13\ 21\11 0 0 - \10 0 0
\4 0 0 - \17 0 0 0 0 0 20\30 0 0 0 0 0 3\ 22\12 0 0
\10 0 0 12\ 6\15 0 0 - \26 0 0 0 0 0 15\20 0 0 0 0 0
\21 0 0 0 0 0 0 3\ 10\8 0 0 - \17 0 0 0 0 0 11\ 29\
- 23\ 12\4 0 0 9\16 0 0 0 0 0 7\ 6\12 0 0 - \16 0 0 0
\9 0 0 0 9\11 0 0 0 0 4\15 0 0 0 0 0 4\ 3\8 0 0 0
\34 0 0 0 0 0 - \15 0 0 0 0 0 \22 0 0 0 0 0 0
\11 0 0 \4 0 0 - \3 0 0 \6 0 0 \7 0 0 0 \12 0 0
