14 20
- - 21\ 17\ 7\ - 36\ 11\ - - - 42\ 14\ - - - 11\ 8\ 29\ -
- 7\20 0 0 0 \6 0 0 10\ - 22\17 0 0 16\ - 12\23 0 0 0 15\
\20 0 0 0 0 5\24 0 0 0 12\30 0 0 0 0 3\18 0 0 0 0 0
\7 0 0 29\8 0 0 0 21\11 0 0 0 0 10\13 0 0 0 0 29\12 0 0
\9 0 0 0 8\7 0 0 0 4\30 0 0 0 0 26\3 0 0 12\18 0 0 0
- 24\ 19\4 0 0 12\11 0 0 0 0 18\10 0 0 0 37\6 0 0 0 23\ 15\
\36 0 0 0 0 0 0 0 0 29\15 0 0 0 0 0 17\28 0 0 0 0
\24 0 0 0 6\19 0 0 0 23\23 0 0 0 17\24 0 0 0 13\23 0 0 0
\28 0 0 0 0 12\16 0 0 0 0 0 24\42 0 0 0 0 0 0 0 0
- 7\ 20\6 0 0 0 12\18 0 0 0 23\29 0 0 0 0 4\9 0 0 29\ 10\
\6 0 0 0 20\4 0 0 14\22 0 0 0 0 16\8 0 0 0 6\8 0 0 0
\4 0 0 13\28 0 0 0 0 16\29 0 0 0 0 14\7 0 0 0 12\12 0 0
\27 0 0 0 0 0 \30 0 0 0 0 \23 0 0 0 \26 0 0 0 0
- \23 0 0 0 - - \12 0 0 - - \15 0 0 \11 0 0 0 -
