12 16
- 9\ 22\ 28\ 13\ 6\ - 34\ 7\ 23\ - 22\ 13\ 23\ 33\ 16\
\16 0 0 0 0 0 \17 0 0 0 \33 0 0 0 0 0
\33 0 0 0 0 0 11\22 0 0 0 6\17 0 0 0 0 0
\17 0 0 0 5\7 0 0 0 8\9 0 0 0 16\16 0 0 0
- 19\ 10\3 0 0 \9 0 0 0 \14 0 0 0 \14 0 0
\28 0 0 0 0 \23 0 0 0 \20 0 0 0 \12 0 0
\11 0 0 33\ 12\ - 10\ 34\ 11\ - 10\ 32\ 16\ - 15\ 33\
\12 0 0 0 0 \9 0 0 0 \24 0 0 0 \12 0 0
- 7\ 12\17 0 0 23\24 0 0 0 19\15 0 0 0 20\4 0 0
\6 0 0 0 7\17 0 0 0 3\11 0 0 0 7\22 0 0 0
\22 0 0 0 0 0 \7 0 0 0 \34 0 0 0 0 0
\34 0 0 0 0 0 \18 0 0 0 \19 0 0 0 0 0
