12 16
- - 34\ 12\ 8\ 13\ - 21\ 10\ 6\ - 14\ 16\ 3\ 33\ -
- 10\10 0 0 0 0 \7 0 0 0 \14 0 0 0 0 13\
\34 0 0 0 0 0 19\19 0 0 0 15\22 0 0 0 0 0
\12 0 0 - 34\11 0 0 0 \20 0 0 0 33\ \7 0 0
\7 0 0 20\21 0 0 0 23\ 24\ 10\6 0 0 0 8\12 0 0
\23 0 0 0 0 \33 0 0 0 0 0 \29 0 0 0 0
- 10\ 23\16 0 0 - 8\21 0 0 0 23\ \7 0 0 15\ 30\
\10 0 0 0 0 12\27 0 0 0 0 0 13\20 0 0 0 0
\6 0 0 \13 0 0 0 23\ - 10\21 0 0 0 \14 0 0
\12 0 0 10\ 14\11 0 0 0 10\9 0 0 0 14\ 11\8 0 0
\34 0 0 0 0 0 \24 0 0 0 \34 0 0 0 0 0
- \11 0 0 0 0 \9 0 0 0 \11 0 0 0 0 -
