14 20
- 34\ 30\ - 14\ 14\ 38\ - 7\ 10\ 30\ - 23\ 15\ 33\ - 12\ 3\ - -
\16 0 0 \24 0 0 0 \20 0 0 0 \23 0 0 0 \4 0 0 16\ -
\14 0 0 4\15 0 0 0 13\6 0 0 0 17\24 0 0 0 4\7 0 0 0 11\
\12 0 0 0 0 13\9 0 0 0 17\24 0 0 0 5\8 0 0 0 8\9 0 0
\7 0 0 0 35\23 0 0 0 35\21 0 0 0 20\6 0 0 0 16\7 0 0 0
\17 0 0 5\24 0 0 0 15\20 0 0 0 8\10 0 0 0 9\12 0 0 0 0
- \14 0 0 0 9\18 0 0 0 15\8 0 0 0 7\10 0 0 0 3\7 0 0
- 11\ 33\8 0 0 0 21\23 0 0 0 21\21 0 0 0 39\12 0 0 0 37\ -
\9 0 0 8\22 0 0 0 4\23 0 0 0 9\7 0 0 0 6\12 0 0 0 15\
\12 0 0 0 0 6\10 0 0 0 4\12 0 0 0 16\14 0 0 0 16\12 0 0
\20 0 0 0 24\6 0 0 0 7\12 0 0 0 14\22 0 0 0 24\13 0 0 0
\11 0 0 17\19 0 0 0 12\7 0 0 0 14\24 0 0 0 16\29 0 0 0 0
- \23 0 0 0 \12 0 0 0 \8 0 0 0 \21 0 0 0 \11 0 0
- - \16 0 0 \7 0 0 0 \18 0 0 0 \23 0 0 0 \4 0 0
