14 20
- - - 24\ 13\ 20\ 6\ - - - 9\ 16\ 29\ - - - 23\ 27\ - -
- - 21\27 0 0 0 0 16\ - 21\23 0 0 0 16\ - 23\8 0 0 30\ -
- 16\23 0 0 0 0 0 0 \19 0 0 0 0 0 \30 0 0 0 0 17\
\23 0 0 0 9\10 0 0 0 4\3 0 0 16\11 0 0 21\34 0 0 0 0 0
\6 0 0 6\5 0 0 22\6 0 0 0 12\35 0 0 0 0 0 10\23 0 0 0
\12 0 0 0 0 6\38 0 0 0 0 0 0 4\7 0 0 12\24 0 0 0 -
\7 0 0 0 10\8 0 0 0 4\10 0 0 38\17 0 0 0 0 0 8\ 21\ -
- \15 0 0 0 0 0 35\3 0 0 17\10 0 0 15\16 0 0 0 0 0 30\
- - 29\ 35\15 0 0 0 0 0 8\16 0 0 11\7 0 0 0 11\17 0 0 0
- 16\23 0 0 0 17\11 0 0 20\23 0 0 0 0 0 0 29\12 0 0 0 0
\23 0 0 0 20\33 0 0 0 0 0 10\20 0 0 0 7\17 0 0 9\12 0 0
\35 0 0 0 0 0 \7 0 0 13\7 0 0 \11 0 0 0 16\10 0 0 0
- \23 0 0 0 0 \35 0 0 0 0 0 \22 0 0 0 0 0 0 -
- - \12 0 0 - - \7 0 0 0 - - \27 0 0 0 0 - -
