14 20
- 24\ 16\ - - 14\ 8\ - - 12\ 3\ - - 11\ 11\ - - 21\ 13\ 11\
\9 0 0 - 11\10 0 0 - 8\4 0 0 7\ \15 0 0 16\ \6 0 0 0
\10 0 0 29\7 0 0 0 18\12 0 0 0 0 7\13 0 0 0 11\23 0 0 0
\32 0 0 0 0 0 15\7 0 0 0 28\6 0 0 0 \22 0 0 0 0 -
- \21 0 0 0 4\11 0 0 0 12\7 0 0 0 18\ - 7\7 0 0 10\ -
- - 10\25 0 0 0 0 0 8\13 0 0 11\12 0 0 16\11 0 0 0 0 4\
- 8\9 0 0 \3 0 0 24\21 0 0 0 0 15\7 0 0 0 \7 0 0 0
\4 0 0 29\ - 6\45 0 0 0 0 0 0 0 0 0 4\ - 11\5 0 0
\13 0 0 0 10\14 0 0 0 15\13 0 0 0 0 23\4 0 0 30\4 0 0 -
- \10 0 0 0 0 \17 0 0 6\3 0 0 11\20 0 0 0 0 0 24\ -
- - 23\4 0 0 7\ - 6\7 0 0 0 24\10 0 0 0 16\14 0 0 0 24\
- 14\28 0 0 0 0 6\9 0 0 0 10\24 0 0 0 12\35 0 0 0 0 0
\15 0 0 0 \9 0 0 0 \13 0 0 0 0 \23 0 0 0 \16 0 0
\24 0 0 0 - \4 0 0 - \16 0 0 - \6 0 0 - \13 0 0
