12 16
- 16\ 6\ 22\ 20\ - 12\ 11\ 13\ 10\ - 16\ 6\ 19\ 15\ 23\
\28 0 0 0 0 \10 0 0 0 0 \18 0 0 0 0 0
\13 0 0 0 0 33\28 0 0 0 0 39\34 0 0 0 0 0
- 8\ 12\26 0 0 0 0 21\ 7\7 0 0 0 23\10 0 0 0
\7 0 0 0 9\10 0 0 0 0 6\27 0 0 0 0 26\ 19\
\35 0 0 0 0 0 29\38 0 0 0 0 0 0 22\4 0 0
\3 0 0 17\24 0 0 0 0 \7 0 0 18\29 0 0 0 0
- 8\ 30\26 0 0 0 0 19\ - 7\6 0 0 15\24 0 0 0
\20 0 0 0 17\ 20\7 0 0 11\36 0 0 0 0 0 0 0
\8 0 0 6\38 0 0 0 0 0 0 3\9 0 0 0 9\ 16\
\16 0 0 0 0 0 \4 0 0 \5 0 0 \10 0 0 0
- \29 0 0 0 0 \16 0 0 \6 0 0 \21 0 0 0
