12 20
- - 12\ 8\ 23\ - 23\ 7\ 10\ - 33\ 4\ 10\ 27\ - 7\ 11\ 20\ 13\ 14\
- 19\11 0 0 0 \7 0 0 0 \27 0 0 0 0 \16 0 0 0 0 0
\28 0 0 0 0 12\19 0 0 0 6\18 0 0 0 0 6\34 0 0 0 0 0
\14 0 0 22\10 0 0 0 9\9 0 0 0 19\10 0 0 0 19\14 0 0 21\ 8\
\11 0 0 0 21\20 0 0 0 23\22 0 0 0 11\6 0 0 0 9\12 0 0 0
- 6\ 10\17 0 0 11\10 0 0 0 7\6 0 0 0 10\14 0 0 0 19\5 0 0
\15 0 0 0 0 0 9\15 0 0 0 33\24 0 0 0 26\34 0 0 0 0 0
\6 0 0 11\12 0 0 0 23\21 0 0 0 16\6 0 0 0 3\4 0 0 14\ 6\
\7 0 0 0 22\20 0 0 0 19\15 0 0 0 10\12 0 0 0 21\20 0 0 0
- 7\ 13\12 0 0 11\21 0 0 0 16\21 0 0 0 11\11 0 0 0 4\4 0 0
\35 0 0 0 0 0 \29 0 0 0 0 \22 0 0 0 \15 0 0 0 0
\16 0 0 0 0 0 \13 0 0 0 0 \8 0 0 0 \7 0 0 0 -
