12 20
- 39\ 36\ 11\ - 33\ 17\ 6\ - - - - 23\ 19\ - - - 8\ 23\ 19\
\22 0 0 0 \6 0 0 0 14\ 33\ - 15\17 0 0 - - 21\10 0 0 0
\7 0 0 0 \34 0 0 0 0 0 17\21 0 0 0 15\ 22\28 0 0 0 0
\12 0 0 - 8\16 0 0 \45 0 0 0 0 0 0 0 0 0 \16 0 0
\16 0 0 29\12 0 0 13\ 39\ \11 0 0 - 42\ 5\23 0 0 0 - 21\ 22\
\39 0 0 0 0 0 0 0 12\13 0 0 \15 0 0 0 0 0 9\16 0 0
\24 0 0 0 0 \16 0 0 0 0 0 10\13 0 0 - 9\29 0 0 0 0
- \7 0 0 28\ - 7\13 0 0 \24 0 0 0 - 7\16 0 0 0 0 0
- \24 0 0 0 17\7 0 0 0 16\ \6 0 0 16\3 0 0 10\ - 6\ 23\
- 4\ 5\ 15\39 0 0 0 0 0 0 6\ 16\32 0 0 0 0 0 16\12 0 0
\29 0 0 0 0 0 0 0 \39 0 0 0 0 0 0 \16 0 0 0 0
\21 0 0 0 0 - - - \14 0 0 0 0 - - - \19 0 0 0
