12 20
- 6\ 4\ 17\ 23\ 14\ - 29\ 15\ 13\ - 16\ 17\ 30\ - 4\ 23\ 19\ 13\ 3\
\17 0 0 0 0 0 21\22 0 0 0 \21 0 0 0 29\16 0 0 0 0 0
\45 0 0 0 0 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0
- 14\ 16\13 0 0 \21 0 0 0 34\ - 15\17 0 0 0 \15 0 0 11\ 10\
\24 0 0 0 19\ 6\12 0 0 0 0 7\29 0 0 0 0 7\ 13\7 0 0 0
\31 0 0 0 0 0 0 \17 0 0 0 0 0 \39 0 0 0 0 0 0
- 11\ 7\ 34\4 0 0 12\ - 27\9 0 0 0 17\ - 29\3 0 0 20\ 4\ 14\
\38 0 0 0 0 0 0 26\20 0 0 0 0 0 25\21 0 0 0 0 0 0
\7 0 0 0 13\ \28 0 0 0 0 \19 0 0 0 0 - 21\14 0 0 0
- 4\ 6\13 0 0 7\19 0 0 0 12\ - 3\23 0 0 0 9\12 0 0 3\ 4\
\45 0 0 0 0 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0
\16 0 0 0 0 0 \6 0 0 0 \7 0 0 0 \16 0 0 0 0 0
