12 20
- 3\ 24\ 19\ 4\ 8\ - 9\ 18\ 29\ 4\ 17\ - - 8\ 9\ 13\ - - -
\21 0 0 0 0 0 \33 0 0 0 0 0 - 15\23 0 0 0 24\ 21\ -
\18 0 0 0 0 0 7\18 0 0 0 0 0 4\22 0 0 0 0 0 0 23\
- \8 0 0 24\ 34\11 0 0 0 0 - \12 0 0 8\ 15\ 32\21 0 0 0
- 15\ 27\27 0 0 0 0 \4 0 0 20\ 42\39 0 0 0 0 0 0 0 0
\17 0 0 0 0 0 - \10 0 0 0 0 \11 0 0 0 0 \4 0 0
\3 0 0 \16 0 0 3\ 25\ \21 0 0 0 27\ - \4 0 0 17\7 0 0
\5 0 0 6\14 0 0 0 0 16\29 0 0 0 0 - 13\17 0 0 0 0 0
\39 0 0 0 0 0 0 0 0 - \17 0 0 8\24 0 0 0 0 11\ -
\16 0 0 0 13\ 8\ 9\9 0 0 12\ 16\10 0 0 0 0 4\ 14\4 0 0 8\
- \26 0 0 0 0 0 0 \34 0 0 0 0 0 \32 0 0 0 0 0
- - - \23 0 0 0 - \22 0 0 0 0 0 \15 0 0 0 0 0
