12 20
- 16\ 12\ 14\ - 11\ 28\ 7\ - 11\ 45\ - 34\ 7\ - 13\ 8\ - 16\ 3\
\12 0 0 0 \7 0 0 0 \3 0 0 6\5 0 0 \13 0 0 18\10 0 0
\19 0 0 0 11\22 0 0 0 \35 0 0 0 0 0 \17 0 0 0 0 0
- 16\ 8\13 0 0 0 0 34\ 14\ 20\12 0 0 0 12\ 38\ 17\12 0 0 6\ 22\
\28 0 0 0 0 42\35 0 0 0 0 0 \30 0 0 0 0 15\8 0 0 0
\8 0 0 \15 0 0 4\26 0 0 0 0 8\43 0 0 0 0 0 0 0 0
- 14\ 16\ - 9\16 0 0 0 5\7 0 0 0 \12 0 0 0 0 \12 0 0
\14 0 0 10\15 0 0 0 0 0 26\11 0 0 25\11 0 0 0 10\ - 12\ 29\
\34 0 0 0 0 0 \38 0 0 0 0 0 0 11\8 0 0 0 12\8 0 0
- 14\ 10\7 0 0 0 3\ - 6\12 0 0 8\18 0 0 0 16\11 0 0 0 0
\20 0 0 0 \5 0 0 \3 0 0 \6 0 0 0 \34 0 0 0 0 0
\9 0 0 0 \7 0 0 \14 0 0 \23 0 0 0 \12 0 0 \12 0 0
