12 20
- - 24\ 11\ - - 4\ 12\ 14\ - - - 7\ 16\ 11\ 11\ - - 35\ 8\
- 5\15 0 0 9\ 8\7 0 0 0 21\ - \10 0 0 0 0 12\ 11\14 0 0
\45 0 0 0 0 0 0 0 0 0 - 5\43 0 0 0 0 0 0 0 0
\13 0 0 3\3 0 0 6\ 11\4 0 0 17\10 0 0 0 0 6\10 0 0 0 0
- 14\ 41\5 0 0 \3 0 0 \21 0 0 0 16\6 0 0 0 7\6 0 0 -
\12 0 0 0 12\ 10\11 0 0 14\11 0 0 18\8 0 0 10\12 0 0 0 0 16\
\16 0 0 18\13 0 0 0 32\16 0 0 3\17 0 0 17\7 0 0 0 3\14 0 0
- \11 0 0 0 0 27\14 0 0 3\3 0 0 \10 0 0 - 11\10 0 0 0
- 21\17 0 0 8\24 0 0 0 15\6 0 0 0 6\16 0 0 8\3 0 0 13\ 6\
\10 0 0 0 0 14\26 0 0 0 0 \3 0 0 5\ 8\3 0 0 3\4 0 0
\36 0 0 0 0 0 0 0 0 - \45 0 0 0 0 0 0 0 0 0
\17 0 0 - \27 0 0 0 0 - - \6 0 0 0 - \3 0 0 -
