12 20
- - 14\ 28\ 7\ - 15\ 16\ - - 6\ 5\ - 14\ 17\ 8\ - 21\ 38\ -
- 8\6 0 0 0 7\8 0 0 - 14\4 0 0 7\24 0 0 0 \16 0 0 20\
\30 0 0 0 0 0 0 0 5\29 0 0 0 0 0 0 0 20\8 0 0 0
\24 0 0 0 \3 0 0 16\3 0 0 9\ 13\3 0 0 11\ \10 0 0 0 0
- \11 0 0 15\ \38 0 0 0 0 0 0 15\4 0 0 4\27 0 0 0 0
- - 33\4 0 0 14\5 0 0 3\16 0 0 0 0 7\17 0 0 0 22\14 0 0
- 14\11 0 0 0 0 3\11 0 0 3\ 5\ 16\7 0 0 15\25 0 0 0 0 -
\4 0 0 13\13 0 0 0 16\10 0 0 0 0 11\6 0 0 \3 0 0 26\ -
\29 0 0 0 0 \11 0 0 3\23 0 0 0 0 0 0 3\ \4 0 0 17\
\14 0 0 0 0 15\ 4\3 0 0 9\ 6\4 0 0 11\3 0 0 3\22 0 0 0
\13 0 0 0 \33 0 0 0 0 0 0 0 \35 0 0 0 0 0 0 0
- \6 0 0 \9 0 0 0 \5 0 0 - \3 0 0 \14 0 0 0 -
