12 20
- 13\ 22\ 21\ 8\ - 36\ 24\ 9\ 41\ - 35\ 7\ 9\ 17\ - 19\ 3\ 14\ 28\
\28 0 0 0 0 \22 0 0 0 0 \28 0 0 0 0 \23 0 0 0 0
\16 0 0 0 0 5\30 0 0 0 0 5\13 0 0 0 0 16\13 0 0 0 0
- 8\22 0 0 0 0 0 0 6\11 0 0 0 0 27\17 0 0 0 18\14 0 0
\9 0 0 10\ 20\3 0 0 23\12 0 0 0 0 8\21 0 0 0 17\7 0 0 0
\14 0 0 0 0 \28 0 0 0 0 16\20 0 0 0 0 \11 0 0 11\ 7\
\19 0 0 0 0 \11 0 0 \9 0 0 15\12 0 0 27\ 17\14 0 0 0 0
- 25\ 10\4 0 0 4\12 0 0 28\24 0 0 0 29\7 0 0 0 26\23 0 0 0
\16 0 0 0 13\3 0 0 20\14 0 0 \17 0 0 9\28 0 0 0 0 22\ 6\
\4 0 0 7\4 0 0 3\16 0 0 9\ - 12\33 0 0 0 0 0 8\6 0 0
\11 0 0 0 0 \10 0 0 0 0 \28 0 0 0 0 \27 0 0 0 0
\27 0 0 0 0 \26 0 0 0 0 \12 0 0 0 0 \14 0 0 0 0
