14 24
- 12\ 28\ - 16\ 38\ - 10\ 7\ - 11\ 38\ - 37\ 10\ - 6\ 8\ - 27\ 13\ - 22\ 13\
\12 0 0 5\16 0 0 \3 0 0 10\4 0 0 \8 0 0 19\5 0 0 \10 0 0 6\5 0 0
\18 0 0 0 0 0 10\19 0 0 0 0 0 \31 0 0 0 0 0 12\32 0 0 0 0 0
- 19\12 0 0 \24 0 0 0 5\23 0 0 0 12\10 0 0 0 10\7 0 0 0 \6 0 0 17\
\14 0 0 17\ 6\4 0 0 25\5 0 0 17\14 0 0 0 34\4 0 0 18\17 0 0 4\ 14\14 0 0
\35 0 0 0 0 0 23\6 0 0 19\33 0 0 0 0 0 10\13 0 0 23\16 0 0 0 0 0
\35 0 0 0 0 0 0 0 \8 0 0 0 \20 0 0 0 \33 0 0 0 0 0 0 0
- 8\ 34\ 14\ 7\ 30\16 0 0 \16 0 0 39\ - 38\14 0 0 \8 0 0 23\ 12\ 4\ 38\ 7\
\28 0 0 0 0 0 0 0 16\17 0 0 0 7\11 0 0 0 12\42 0 0 0 0 0 0 0
\35 0 0 0 0 0 8\15 0 0 22\34 0 0 0 0 0 7\15 0 0 10\16 0 0 0 0 0
\3 0 0 6\ \13 0 0 16\16 0 0 9\14 0 0 0 21\4 0 0 22\16 0 0 - 16\6 0 0
- 8\7 0 0 7\7 0 0 0 7\19 0 0 0 \18 0 0 0 4\11 0 0 0 3\17 0 0 6\
\34 0 0 0 0 0 \15 0 0 0 0 0 \15 0 0 0 0 0 \17 0 0 0 0 0
\4 0 0 \4 0 0 \14 0 0 \12 0 0 \16 0 0 \12 0 0 \4 0 0 \11 0 0
