14 22
- - 16\ 22\ 21\ - 26\ 16\ - - 11\ 4\ - - 9\ 12\ - 5\ 16\ 24\ 28\ -
- 11\6 0 0 0 \17 0 0 6\ 10\6 0 0 11\ \17 0 0 30\20 0 0 0 0 4\
\10 0 0 0 0 5\28 0 0 0 0 0 0 0 29\38 0 0 0 0 0 0 0 0
\23 0 0 0 0 0 0 \3 0 0 12\ \8 0 0 \3 0 0 19\ 8\7 0 0 0
\39 0 0 0 0 0 0 10\8 0 0 0 \10 0 0 14\ \16 0 0 0 0 0 7\
\11 0 0 0 11\ \3 0 0 11\8 0 0 20\9 0 0 0 22\32 0 0 0 0 0 0
- 21\ 29\3 0 0 25\ \5 0 0 \8 0 0 10\29 0 0 0 0 0 11\7 0 0 0
\5 0 0 22\10 0 0 19\8 0 0 10\7 0 0 0 \17 0 0 \17 0 0 21\4 0 0
\11 0 0 0 3\17 0 0 0 0 0 29\11 0 0 10\3 0 0 26\ \4 0 0 33\ 14\
\28 0 0 0 0 0 0 \10 0 0 0 \4 0 0 6\5 0 0 7\ 24\23 0 0 0
- 4\27 0 0 0 0 0 17\ \6 0 0 \7 0 0 0 \38 0 0 0 0 0 0
\7 0 0 0 3\ 7\4 0 0 3\13 0 0 12\ 3\5 0 0 8\21 0 0 0 0 0 0
\37 0 0 0 0 0 0 0 0 \32 0 0 0 0 0 0 0 \20 0 0 0 0
- \14 0 0 0 0 \11 0 0 - \4 0 0 - \16 0 0 \7 0 0 0 -
