12 20
- 11\ 37\ - 11\ 12\ - 12\ 3\ - - 3\ 41\ 18\ 4\ 14\ - - 11\ 6\
\17 0 0 11\4 0 0 4\4 0 0 10\ \15 0 0 0 0 0 - 12\14 0 0
\45 0 0 0 0 0 0 0 0 0 12\26 0 0 0 0 0 15\6 0 0 0
\7 0 0 0 5\4 0 0 29\ 37\4 0 0 13\17 0 0 20\ 6\7 0 0 37\ 9\
- \11 0 0 0 0 \26 0 0 0 0 0 0 11\32 0 0 0 0 0 0
- 23\9 0 0 0 - 7\11 0 0 0 \19 0 0 0 0 0 \7 0 0 0
\8 0 0 10\ - 4\9 0 0 0 5\ - 18\21 0 0 0 - 3\ 16\12 0 0
\11 0 0 0 3\19 0 0 0 0 0 6\8 0 0 0 - 16\8 0 0 0 -
\25 0 0 0 0 0 0 8\25 0 0 0 0 0 0 6\13 0 0 0 0 7\
- 17\ 8\4 0 0 13\ 10\6 0 0 7\14 0 0 11\ 9\3 0 0 17\6 0 0 0
\13 0 0 0 \16 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0
\16 0 0 - \34 0 0 0 0 0 - \17 0 0 \16 0 0 \4 0 0
