14 22
- 37\ 24\ 16\ 5\ 4\ 19\ - 3\ 37\ - - 7\ 13\ - 3\ 6\ 10\ 10\ 11\ - -
\23 0 0 0 0 0 0 \11 0 0 - 10\15 0 0 \16 0 0 0 0 0 16\ 6\
\31 0 0 0 0 0 0 30\3 0 0 3\6 0 0 0 3\28 0 0 0 0 0 0 0
\6 0 0 3\ 42\ 19\17 0 0 \6 0 0 0 14\3 0 0 3\3 0 0 28\ 15\14 0 0
\29 0 0 0 0 0 0 0 23\17 0 0 0 0 \3 0 0 11\6 0 0 0 3\ 17\
\45 0 0 0 0 0 0 0 0 0 4\6 0 0 38\ 12\3 0 0 20\26 0 0 0 0
\4 0 0 10\5 0 0 \26 0 0 0 0 - 10\15 0 0 17\34 0 0 0 0 0 0
- 4\ 13\19 0 0 0 3\10 0 0 0 0 \27 0 0 0 0 \6 0 0 0 23\ 30\
\24 0 0 0 0 0 0 3\16 0 0 16\ 15\10 0 0 0 0 16\5 0 0 16\3 0 0
\10 0 0 0 0 11\3 0 0 3\ \17 0 0 4\45 0 0 0 0 0 0 0 0 0
- 13\ 4\15 0 0 0 18\3 0 0 13\14 0 0 0 0 \36 0 0 0 0 0 0 0
\5 0 0 4\ 3\10 0 0 10\3 0 0 4\9 0 0 0 11\3 0 0 3\ 14\ 15\5 0 0
\30 0 0 0 0 0 0 0 \8 0 0 0 \11 0 0 \32 0 0 0 0 0 0
- - \15 0 0 0 0 0 \11 0 0 - \3 0 0 \22 0 0 0 0 0 0
