12 20
- - - 6\ 26\ 6\ 13\ - 13\ 9\ 7\ 14\ - 9\ 13\ - - 14\ 42\ 16\
- 14\ 8\10 0 0 0 0 \29 0 0 0 0 \16 0 0 23\ 8\24 0 0 0
\27 0 0 0 0 0 0 39\10 0 0 0 0 11\28 0 0 0 0 0 0 0
\16 0 0 17\11 0 0 \6 0 0 - \3 0 0 21\ 15\16 0 0 18\10 0 0
- 16\ 42\12 0 0 - 10\11 0 0 5\ 14\ \15 0 0 0 0 3\6 0 0 0
\24 0 0 0 4\ \7 0 0 10\13 0 0 11\6 0 0 0 \7 0 0 0 8\
\19 0 0 0 0 \45 0 0 0 0 0 0 0 0 0 \11 0 0 0 0
- 29\7 0 0 0 13\7 0 0 0 \4 0 0 10\4 0 0 - 10\24 0 0 0
\18 0 0 0 5\16 0 0 0 0 20\ - \4 0 0 - 6\5 0 0 14\ 4\
\13 0 0 3\13 0 0 5\ 7\13 0 0 16\ 4\8 0 0 3\3 0 0 9\11 0 0
\31 0 0 0 0 0 0 0 \24 0 0 0 0 \21 0 0 0 0 0 0
\9 0 0 0 - \3 0 0 \13 0 0 0 0 \10 0 0 0 0 - -
