14 22
- 16\ 38\ - 22\ 28\ 17\ - 11\ 8\ 17\ - - 11\ 22\ 8\ - 21\ 4\ - 12\ 8\
\13 0 0 26\24 0 0 0 \24 0 0 0 16\ 11\14 0 0 0 \12 0 0 \16 0 0
\23 0 0 0 0 0 0 6\36 0 0 0 0 0 0 0 0 7\3 0 0 24\3 0 0
\33 0 0 0 0 0 20\3 0 0 28\20 0 0 0 0 0 11\4 0 0 11\9 0 0 -
\10 0 0 0 16\15 0 0 0 15\11 0 0 3\ 15\39 0 0 0 0 0 0 0 - -
\30 0 0 0 0 10\22 0 0 0 0 15\11 0 0 \4 0 0 - 8\8 0 0 43\ 3\
- 16\19 0 0 0 0 0 11\16 0 0 0 0 0 18\3 0 0 17\3 0 0 21\4 0 0
\14 0 0 0 13\14 0 0 0 21\8 0 0 16\11 0 0 4\6 0 0 0 4\8 0 0 0
\9 0 0 6\16 0 0 \4 0 0 \17 0 0 0 0 0 6\20 0 0 0 0 0 27\
- - \4 0 0 10\ 5\3 0 0 14\17 0 0 14\10 0 0 0 0 12\26 0 0 0 0
- - 6\28 0 0 0 0 0 0 0 3\ 4\5 0 0 12\16 0 0 0 22\13 0 0 0
- 16\5 0 0 15\3 0 0 16\15 0 0 0 0 0 4\4 0 0 4\18 0 0 0 0 0
\12 0 0 \13 0 0 \37 0 0 0 0 0 0 0 0 \24 0 0 0 0 0 0
\8 0 0 \7 0 0 \10 0 0 0 - \7 0 0 0 \8 0 0 0 \16 0 0
