14 20
- 28\ 13\ - 17\ 11\ 25\ - 6\ 30\ - 21\ 6\ - 19\ 4\ 18\ - 15\ 26\
\5 0 0 \12 0 0 0 \4 0 0 \9 0 0 \7 0 0 0 \7 0 0
\11 0 0 30\23 0 0 0 4\3 0 0 8\6 0 0 16\9 0 0 0 12\13 0 0
\17 0 0 0 0 \45 0 0 0 0 0 0 0 0 0 \10 0 0 0 0
\29 0 0 0 0 16\6 0 0 4\7 0 0 0 7\11 0 0 7\29 0 0 0 0
- 23\ 20\20 0 0 0 9\ 23\10 0 0 \4 0 0 6\ 7\7 0 0 0 10\ 23\
\24 0 0 0 \28 0 0 0 0 0 \16 0 0 0 0 0 \10 0 0 0
\16 0 0 10\ - 17\8 0 0 16\ 39\ - 38\ 15\4 0 0 3\ - 19\9 0 0
\11 0 0 0 16\35 0 0 0 0 0 \16 0 0 0 0 0 18\23 0 0 0
- 29\ 25\14 0 0 0 30\ 6\13 0 0 12\16 0 0 6\ 30\6 0 0 0 20\ 30\
\24 0 0 0 0 \8 0 0 16\23 0 0 0 8\12 0 0 \13 0 0 0 0
\11 0 0 0 0 16\45 0 0 0 0 0 0 0 0 0 12\29 0 0 0 0
\14 0 0 \19 0 0 0 \10 0 0 \14 0 0 \13 0 0 0 \7 0 0
\15 0 0 \23 0 0 0 \14 0 0 \10 0 0 \22 0 0 0 \16 0 0
