14 20
- 4\ 9\ 34\ - 7\ 3\ - 29\ 37\ - 38\ 20\ - 4\ 7\ - 28\ 13\ 17\
\10 0 0 0 6\4 0 0 14\15 0 0 \6 0 0 11\8 0 0 11\16 0 0 0
\45 0 0 0 0 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0
- 8\ 23\4 0 0 30\ 4\24 0 0 0 17\24 0 0 0 4\ 41\4 0 0 14\ 11\
\18 0 0 0 19\4 0 0 35\33 0 0 0 0 0 15\10 0 0 16\7 0 0 0
\29 0 0 0 0 0 0 0 23\24 0 0 0 7\30 0 0 0 0 0 0 0
\35 0 0 0 0 0 \24 0 0 0 \6 0 0 0 \34 0 0 0 0 0
- 23\ 10\ 25\3 0 0 \16 0 0 35\ - 39\4 0 0 \6 0 0 26\ 17\ 7\
\31 0 0 0 0 0 8\21 0 0 0 16\14 0 0 0 4\16 0 0 0 0 0
\29 0 0 0 0 0 0 0 13\18 0 0 0 29\40 0 0 0 0 0 0 0
\10 0 0 0 7\4 0 0 5\34 0 0 0 0 0 12\6 0 0 3\6 0 0 0
- 16\ 12\4 0 0 13\ 16\6 0 0 0 \23 0 0 0 10\ 6\4 0 0 12\ 16\
\45 0 0 0 0 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0
\24 0 0 0 \17 0 0 \15 0 0 \11 0 0 \7 0 0 \21 0 0 0
