14 20
- 20\ 33\ 14\ - - 11\ 5\ 22\ - - - 16\ 12\ 7\ - - 18\ 5\ 7\
\9 0 0 0 - 17\9 0 0 0 11\ - 29\11 0 0 0 18\ \7 0 0 0
\24 0 0 0 24\20 0 0 0 0 0 12\20 0 0 0 0 0 19\12 0 0 0
\9 0 0 25\9 0 0 11\ 34\30 0 0 0 0 24\34 0 0 0 0 0 29\ 18\
\29 0 0 0 0 \39 0 0 0 0 0 0 0 0 \15 0 0 0 0 0
- \19 0 0 0 23\8 0 0 0 42\ 21\13 0 0 34\ - 23\20 0 0 0 0
- - 29\32 0 0 0 0 0 \31 0 0 0 0 0 11\14 0 0 30\14 0 0
- 8\16 0 0 12\20 0 0 0 23\24 0 0 0 \20 0 0 0 28\15 0 0 -
\10 0 0 34\11 0 0 \35 0 0 0 0 0 33\32 0 0 0 0 0 33\ -
\12 0 0 0 0 7\ - 19\16 0 0 10\ 6\21 0 0 0 \24 0 0 0 25\
\27 0 0 0 0 0 6\42 0 0 0 0 0 0 0 0 16\28 0 0 0 0
- 13\ 15\16 0 0 0 0 0 4\10 0 0 0 0 16\ 13\14 0 0 4\14 0 0
\20 0 0 0 \15 0 0 0 0 0 \28 0 0 0 0 0 \8 0 0 0
\23 0 0 0 - \7 0 0 0 - - \24 0 0 0 - \19 0 0 0
