14 20
- - 23\ 6\ 13\ - - - 4\ 6\ - 10\ 23\ - - - 10\ 7\ 24\ -
- 12\7 0 0 0 17\ - 16\3 0 0 35\8 0 0 34\ - 16\7 0 0 0 14\
\35 0 0 0 0 0 6\30 0 0 0 0 0 0 0 14\34 0 0 0 0 0
\4 0 0 - \8 0 0 0 29\35 0 0 0 0 0 0 0 - \7 0 0
\3 0 0 22\ 32\10 0 0 0 0 30\12 0 0 25\22 0 0 0 29\ 18\4 0 0
\16 0 0 0 0 0 \30 0 0 0 0 10\5 0 0 \15 0 0 0 0 0
- \11 0 0 0 0 \38 0 0 0 0 0 0 0 \10 0 0 0 0 -
- - 39\9 0 0 22\ - 33\12 0 0 15\7 0 0 33\ - 18\8 0 0 22\ -
- 29\29 0 0 0 0 \42 0 0 0 0 0 0 0 \30 0 0 0 0 16\
\34 0 0 0 0 0 16\16 0 0 30\13 0 0 0 0 6\16 0 0 0 0 0
\17 0 0 - \23 0 0 0 24\12 0 0 9\16 0 0 0 0 - \6 0 0
\15 0 0 10\ 6\40 0 0 0 0 0 0 0 6\9 0 0 0 4\ 7\14 0 0
\15 0 0 0 0 0 \29 0 0 0 0 0 0 0 \15 0 0 0 0 0
- \22 0 0 0 - - \16 0 0 \4 0 0 - - \7 0 0 0 -
