14 20
- - 39\ 14\ - 29\ 11\ 29\ - 9\ 23\ 14\ - 30\ 4\ 12\ - 4\ 24\ -
- 17\13 0 0 16\23 0 0 0 \23 0 0 0 \10 0 0 0 3\10 0 0 32\
\42 0 0 0 0 0 0 0 30\9 0 0 0 11\29 0 0 0 0 0 0 0
\9 0 0 11\17 0 0 29\29 0 0 0 0 0 0 0 33\6 0 0 11\15 0 0
\7 0 0 0 18\30 0 0 0 0 5\ 15\ 4\10 0 0 0 0 34\19 0 0 0
\29 0 0 0 0 6\45 0 0 0 0 0 0 0 0 0 6\12 0 0 0 0
\7 0 0 \7 0 0 0 \23 0 0 0 0 0 \12 0 0 0 \7 0 0
- 19\ 30\ \15 0 0 0 - 30\ 12\ 3\ 4\ 10\ \7 0 0 0 - 21\ 18\
\12 0 0 13\9 0 0 0 32\16 0 0 0 0 0 25\20 0 0 0 10\4 0 0
\26 0 0 0 0 27\45 0 0 0 0 0 0 0 0 0 26\29 0 0 0 0
\7 0 0 0 16\20 0 0 0 0 23\ 7\ 6\27 0 0 0 0 6\9 0 0 0
\9 0 0 4\14 0 0 11\33 0 0 0 0 0 0 0 15\10 0 0 16\5 0 0
\35 0 0 0 0 0 0 0 \11 0 0 0 \28 0 0 0 0 0 0 0
- \3 0 0 \24 0 0 0 \10 0 0 0 \23 0 0 0 \13 0 0 -
