14 20
- 20\ 23\ - 4\ 6\ 28\ - - 12\ 16\ 34\ - 14\ 15\ 8\ - - 16\ 30\
\11 0 0 32\10 0 0 0 21\ \7 0 0 0 3\7 0 0 0 - 16\7 0 0
\42 0 0 0 0 0 0 0 \29 0 0 0 0 0 0 0 \13 0 0 0
\24 0 0 0 30\ \12 0 0 26\ 8\20 0 0 0 0 0 35\ 28\10 0 0 0
- 24\ 6\16 0 0 \24 0 0 0 0 0 0 38\ \28 0 0 0 0 0 0
\25 0 0 0 0 19\ 16\29 0 0 0 0 0 0 \34 0 0 0 0 0 -
\38 0 0 0 0 0 0 0 0 42\ \7 0 0 39\ 9\12 0 0 - 7\ 9\
\9 0 0 \30 0 0 0 0 0 0 \33 0 0 0 0 0 0 17\7 0 0
- - 16\ 21\4 0 0 15\ \5 0 0 16\ 12\41 0 0 0 0 0 0 0 0
- 27\34 0 0 0 0 0 \33 0 0 0 0 0 0 11\ \11 0 0 0 0
\26 0 0 0 0 0 0 20\ 7\21 0 0 0 0 0 0 \4 0 0 18\ 24\
\15 0 0 0 - 4\15 0 0 0 0 0 9\ \12 0 0 17\ 16\23 0 0 0
\7 0 0 0 \40 0 0 0 0 0 0 0 \40 0 0 0 0 0 0 0
\13 0 0 - \14 0 0 0 \7 0 0 0 - \22 0 0 0 \13 0 0
