12 20
- 29\ 17\ - 9\ 23\ 8\ - - 3\ 14\ 21\ - - - 9\ 6\ - 37\ 22\
\6 0 0 18\22 0 0 0 12\ \19 0 0 0 - 18\ 10\4 0 0 26\14 0 0
\28 0 0 0 0 0 0 0 30\7 0 0 0 29\41 0 0 0 0 0 0 0
\14 0 0 0 17\24 0 0 0 0 15\22 0 0 0 0 0 - 17\24 0 0 0
\29 0 0 0 0 11\ 3\ \7 0 0 0 \3 0 0 - 7\28 0 0 0 0
- 23\ 38\26 0 0 0 0 21\16 0 0 - 23\5 0 0 10\20 0 0 0 0 0
\16 0 0 29\ 3\20 0 0 0 0 0 \18 0 0 0 0 0 8\ 21\4 0 0
\22 0 0 0 0 0 \7 0 0 - 25\7 0 0 \27 0 0 0 0 18\ 13\
\24 0 0 0 0 - 6\3 0 0 19\16 0 0 0 3\ 18\ 24\10 0 0 0 0
\9 0 0 0 14\ 9\16 0 0 0 0 0 8\25 0 0 0 0 4\23 0 0 0
\42 0 0 0 0 0 0 0 \24 0 0 0 \32 0 0 0 0 0 0 0
\8 0 0 \6 0 0 - - \17 0 0 0 - \10 0 0 0 \3 0 0
