12 20
- 6\ 12\ 28\ 14\ - 24\ 32\ 20\ 13\ - 9\ 13\ - 6\ 17\ - - 8\ 7\
\27 0 0 0 0 38\10 0 0 0 0 \17 0 0 23\9 0 0 24\ 3\4 0 0
\45 0 0 0 0 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0
\9 0 0 0 7\28 0 0 0 0 29\ 13\ 28\9 0 0 21\ 32\10 0 0 26\ 11\
- 11\ 26\33 0 0 0 0 0 5\24 0 0 0 \21 0 0 0 0 \11 0 0
\28 0 0 0 0 0 6\19 0 0 0 0 0 16\ \16 0 0 - \14 0 0
\12 0 0 - \4 0 0 \13 0 0 12\8 0 0 15\12 0 0 11\ 29\4 0 0
\9 0 0 - 7\9 0 0 19\ \28 0 0 0 0 0 25\17 0 0 0 0 0
\3 0 0 4\14 0 0 0 0 10\23 0 0 0 19\26 0 0 0 0 0 20\ 11\
- 6\ 4\3 0 0 3\ 9\9 0 0 9\ - 15\29 0 0 0 0 7\21 0 0 0
\45 0 0 0 0 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0
\4 0 0 - \4 0 0 \3 0 0 \28 0 0 0 0 \11 0 0 0 0
