12 20
- 10\ 29\ - - 4\ 15\ 16\ 22\ 3\ - - 4\ 28\ - 38\ 14\ 29\ 23\ 7\
\8 0 0 3\ \22 0 0 0 0 0 13\ 12\6 0 0 \17 0 0 0 0 0
\8 0 0 0 31\45 0 0 0 0 0 0 0 0 0 4\34 0 0 0 0 0
\14 0 0 0 0 37\ 5\3 0 0 \3 0 0 \15 0 0 0 \14 0 0 -
\13 0 0 6\34 0 0 0 0 0 8\4 0 0 3\7 0 0 0 16\16 0 0 12\
- 4\ 22\26 0 0 0 0 0 11\4 0 0 14\4 0 0 \12 0 0 4\4 0 0
\16 0 0 0 0 0 - 19\16 0 0 17\11 0 0 16\ 17\21 0 0 0 0 0
\3 0 0 10\8 0 0 3\3 0 0 6\6 0 0 11\21 0 0 0 0 0 12\ 28\
- \4 0 0 \7 0 0 0 \3 0 0 \18 0 0 0 0 0 3\15 0 0
- 3\7 0 0 15\10 0 0 0 8\12 0 0 16\4 0 0 8\ 14\10 0 0 0 0
\26 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0 \10 0 0 0
\16 0 0 0 0 0 \16 0 0 - \23 0 0 0 0 0 - \9 0 0
