14 22
- 15\ 11\ 3\ - 16\ 12\ - 13\ 11\ 5\ 16\ - - 11\ 8\ 16\ 9\ - 19\ 4\ 8\
\7 0 0 0 12\4 0 0 \28 0 0 0 0 7\ \10 0 0 0 0 14\11 0 0 0
\29 0 0 0 0 0 0 \15 0 0 0 0 0 4\38 0 0 0 0 0 0 0 0
\16 0 0 31\3 0 0 21\ 7\3 0 0 16\21 0 0 0 0 0 0 3\3 0 0 32\ 12\
- - 25\21 0 0 0 0 0 0 10\11 0 0 \4 0 0 13\9 0 0 0 23\4 0 0
- 7\16 0 0 0 16\12 0 0 17\8 0 0 - 3\ 11\ 20\12 0 0 0 \12 0 0 0
\6 0 0 0 \18 0 0 0 0 0 7\ \10 0 0 0 0 14\ 15\ \9 0 0 8\
\23 0 0 0 \14 0 0 13\19 0 0 0 \16 0 0 0 22\7 0 0 \23 0 0 0
- 17\3 0 0 - 3\ 28\10 0 0 0 0 - 9\25 0 0 0 0 0 24\12 0 0 0
\21 0 0 0 8\15 0 0 0 16\ 6\ - 19\5 0 0 11\16 0 0 18\19 0 0 0 -
\9 0 0 8\6 0 0 0 16\14 0 0 4\16 0 0 7\26 0 0 0 0 0 0 8\ 23\
- 3\ 8\3 0 0 8\21 0 0 0 0 0 0 16\4 0 0 - 13\17 0 0 4\8 0 0
\41 0 0 0 0 0 0 0 0 \21 0 0 0 0 0 \29 0 0 0 0 0 0
\7 0 0 0 \14 0 0 0 0 - \13 0 0 0 0 \5 0 0 \15 0 0 0
