12 20
- - 41\ 6\ 12\ 39\ - 13\ 28\ - - 8\ 14\ 18\ - - 22\ 14\ 8\ 4\
- 12\21 0 0 0 0 \5 0 0 16\ \6 0 0 0 7\ \12 0 0 0 0
\35 0 0 0 0 0 35\13 0 0 0 40\30 0 0 0 0 8\10 0 0 0 0
\4 0 0 16\ 24\17 0 0 \24 0 0 0 6\34 0 0 0 0 0 0 39\ 7\
- \34 0 0 0 0 0 19\26 0 0 0 0 0 24\ 33\16 0 0 0 0 0
- 17\41 0 0 0 0 0 0 0 11\7 0 0 \17 0 0 29\ 8\ \4 0 0
\4 0 0 \27 0 0 0 0 \20 0 0 0 28\20 0 0 0 0 16\3 0 0
\17 0 0 27\ 12\ 4\16 0 0 19\4 0 0 17\34 0 0 0 0 0 0 0 -
\21 0 0 0 0 0 12\ 24\24 0 0 0 0 0 \35 0 0 0 0 0 11\
- 16\ 14\22 0 0 0 0 0 0 7\6 0 0 0 17\16 0 0 4\ 17\16 0 0
\29 0 0 0 0 \30 0 0 0 0 \24 0 0 0 \20 0 0 0 0 0
\27 0 0 0 0 - \17 0 0 0 - \9 0 0 \26 0 0 0 0 -
