12 20
- 4\ 41\ - 25\ 3\ 6\ - - 12\ 6\ - - 6\ 8\ - 37\ 10\ 13\ 5\
\6 0 0 13\6 0 0 0 4\ \4 0 0 3\ \4 0 0 4\11 0 0 0 0
\30 0 0 0 0 0 0 0 9\14 0 0 0 27\29 0 0 0 0 0 0 0
- 23\10 0 0 0 29\ 5\11 0 0 22\10 0 0 0 12\11 0 0 0 0 38\ 15\
\21 0 0 0 0 0 0 26\9 0 0 7\ \12 0 0 - 14\14 0 0 0 0
\9 0 0 0 21\21 0 0 0 10\6 0 0 8\4 0 0 \16 0 0 \13 0 0
\17 0 0 \8 0 0 \41 0 0 0 0 0 0 0 15\12 0 0 18\11 0 0
\10 0 0 19\11 0 0 \3 0 0 \3 0 0 9\9 0 0 0 27\10 0 0 0
\26 0 0 0 0 3\ 11\13 0 0 4\ 12\3 0 0 16\36 0 0 0 0 0 0
- 17\ 10\10 0 0 0 0 15\6 0 0 0 9\17 0 0 3\ 4\13 0 0 0 12\
\39 0 0 0 0 0 0 0 \6 0 0 0 \38 0 0 0 0 0 0 0
\14 0 0 0 0 \16 0 0 - \16 0 0 - \7 0 0 0 \4 0 0
