12 20
- 9\ 27\ - - 9\ 16\ 27\ - - 8\ 17\ 32\ 30\ - - 3\ 30\ - -
\16 0 0 8\ 21\23 0 0 0 26\ \30 0 0 0 0 16\ 24\11 0 0 - -
\42 0 0 0 0 0 0 0 0 18\38 0 0 0 0 0 0 0 0 6\ 16\
- 16\13 0 0 0 0 20\18 0 0 0 - \19 0 0 0 0 4\22 0 0 0
\13 0 0 0 0 24\14 0 0 0 0 8\ 35\4 0 0 \23 0 0 0 0 0
\17 0 0 24\7 0 0 0 21\36 0 0 0 0 0 0 24\7 0 0 0 22\ -
- \5 0 0 3\12 0 0 0 28\22 0 0 0 13\23 0 0 0 11\3 0 0 3\
- 14\ 4\6 0 0 0 \23 0 0 0 0 0 0 24\10 0 0 0 7\3 0 0
\23 0 0 0 0 0 3\4 0 0 - \26 0 0 0 0 24\10 0 0 0 0
\8 0 0 0 9\10 0 0 0 0 4\ 17\24 0 0 0 17\20 0 0 0 0 4\
- - \41 0 0 0 0 0 0 0 0 \38 0 0 0 0 0 0 0 0
- - \17 0 0 - \23 0 0 0 0 - \16 0 0 0 - \6 0 0
